universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,S1 Desain Interior,Ganjil,Basic Design and Artistic Program,4,1,Wajib
ITS,S1 Desain Interior,Ganjil,Basic Interior Drawing,4,1,Wajib
ITS,S1 Desain Interior,Ganjil,Basic Interior Drafting,3,1,Wajib
ITS,S1 Desain Interior,Ganjil,History of Design,3,1,Wajib
ITS,S1 Desain Interior,Ganjil,Presentation Technique,2,1,Wajib
ITS,S1 Desain Interior,Ganjil,Design Thinking,2,1,Wajib
ITS,S1 Desain Interior,Genap,Residential Design,5,2,Wajib
ITS,S1 Desain Interior,Genap,Interior Shop Drawing,3,2,Wajib
ITS,S1 Desain Interior,Genap,Interior Design Methodology,3,2,Wajib
ITS,S1 Desain Interior,Genap,Interior Ergonomics,2,2,Wajib
ITS,S1 Desain Interior,Genap,Interior Statistics,2,2,Wajib
ITS,S1 Desain Interior,Genap,Mathematics,3,2,Wajib
ITS,S1 Desain Interior,Ganjil,Hospitality Design,5,3,Wajib
ITS,S1 Desain Interior,Ganjil,Multifunctional Furniture Design,4,3,Wajib
ITS,S1 Desain Interior,Ganjil,Human Behavior in Interior Design,3,3,Wajib
ITS,S1 Desain Interior,Ganjil,Interior Computer Graphic Presentation,3,3,Wajib
ITS,S1 Desain Interior,Ganjil,Visual Merchandising,3,3,Wajib
ITS,S1 Desain Interior,Ganjil,Universal Design Principles,3,3,Wajib
ITS,S1 Desain Interior,Genap,Office and Commercial Space Design,5,4,Wajib
ITS,S1 Desain Interior,Genap,Integrated Furniture Design,4,4,Wajib
ITS,S1 Desain Interior,Genap,Interior Research Methodology,3,4,Wajib
ITS,S1 Desain Interior,Genap,Interior Computer Aided Documentation,3,4,Wajib
ITS,S1 Desain Interior,Genap,Aesthetics and Semiotic Studies,3,4,Wajib
ITS,S1 Desain Interior,Genap,Interior Structure and Construction,3,4,Wajib
ITS,S1 Desain Interior,Ganjil,Health Space Design,5,5,Wajib
ITS,S1 Desain Interior,Ganjil,Construction Management Project,3,5,Wajib
ITS,S1 Desain Interior,Ganjil,Nusantara Design,3,5,Wajib
ITS,S1 Desain Interior,Ganjil,Interior Physical Performance,3,5,Wajib
ITS,S1 Desain Interior,Ganjil,Interior Digital Fabrication,3,5,Wajib
ITS,S1 Desain Interior,Ganjil,Mata Kuliah Pilihan,3,5,Pilihan
ITS,S1 Desain Interior,Genap,Indonesian,2,6,Wajib
ITS,S1 Desain Interior,Genap,Civics,2,6,Wajib
ITS,S1 Desain Interior,Genap,English,2,6,Wajib
ITS,S1 Desain Interior,Genap,Technopreneurship,2,6,Wajib
ITS,S1 Desain Interior,Genap,Accessories Design,3,6,Wajib
ITS,S1 Desain Interior,Genap,Interior Branding and Marketing,3,6,Wajib
ITS,S1 Desain Interior,Genap,Built Environment and Sustainable Design,3,6,Wajib
ITS,S1 Desain Interior,Genap,Mata Kuliah Pilihan,3,6,Pilihan
ITS,S1 Desain Interior,Ganjil,Tourism Design,4,7,Wajib
ITS,S1 Desain Interior,Ganjil,Final Project Proposal,3,7,Wajib
ITS,S1 Desain Interior,Ganjil,Practical Work,3,7,Wajib
ITS,S1 Desain Interior,Ganjil,Religion Course,2,7,Wajib
ITS,S1 Desain Interior,Ganjil,Pancasila,2,7,Wajib
ITS,S1 Desain Interior,Ganjil,Applied Technology and Digital Transformation,3,7,Wajib
ITS,S1 Desain Interior,Ganjil,Enrichment Course,3,7,Wajib
ITS,S1 Desain Interior,Genap,Final Project,6,8,Wajib
ITS,S1 Desain Interior,Ganjil,Islamic Design Principles,3,5,Pilihan
ITS,S1 Desain Interior,Ganjil,Interior Garden,3,5,Pilihan
ITS,S1 Desain Interior,Ganjil,Interior Start-Up,3,5,Pilihan
ITS,S1 Desain Interior,Ganjil,Interior Digital Photography,3,5,Pilihan
ITS,S1 Desain Interior,Ganjil,Interior Building Acoustic,3,5,Pilihan
ITS,S1 Desain Interior,Genap,Interior Decoration,3,6,Pilihan
ITS,S1 Desain Interior,Genap,Interior Textile Design,3,6,Pilihan
ITS,S1 Desain Interior,Genap,Interior User Experience,3,6,Pilihan
ITS,S1 Desain Interior,Genap,Interior Maritime Transportation Design,3,6,Pilihan
