universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,S1 Desain Komunikasi Visual,Ganjil,Dasar DKV 2 Dimensi,6,1,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Life Drawing,4,1,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Ilmu Komunikasi,3,1,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Sejarah DKV,3,1,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Design Thinking,2,1,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Dasar DKV 3 Dimensi,6,2,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Technical Drawing,3,2,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Tipografi,3,2,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Studi Kreatifitas,3,2,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Matematika,3,2,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,DKV Bahasa Visual,6,3,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Komunikasi Marketing & Periklanan,3,3,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Metodologi Riset,2,3,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Videografi,3,3,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Creative Copywriting,3,3,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Fotografi,3,3,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,DKV Teknologi,6,4,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,User Interface Design,3,4,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Ilustrasi Digital,4,4,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Teknologi Grafika,3,4,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Game Studies,2,4,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Kajian Budaya Visual,2,4,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,DKV Sosial Budaya,6,5,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Motion Graphic,4,5,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Etika Bisnis,3,5,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Branding,3,5,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,DKV Creativepreneur,6,6,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Manajemen Desain,3,6,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Bahasa Indonesia,2,6,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Aplikasi Teknologi dan Transformasi Digital,3,6,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Kewarganegaraan,2,6,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,DKV Komprehensif,6,7,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Kerja Praktek,3,7,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Kapita Estetika,3,7,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Agama,2,7,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Pancasila,2,7,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Bahasa Inggris,2,7,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Kewirausahaan Berbasis Teknologi,2,7,Wajib
ITS,S1 Desain Komunikasi Visual,Genap,Tugas Akhir,8,8,Wajib
ITS,S1 Desain Komunikasi Visual,Ganjil,Comic and Graphic Novel,4,5,Pilihan
ITS,S1 Desain Komunikasi Visual,Ganjil,Digital Content Creation,4,5,Pilihan
ITS,S1 Desain Komunikasi Visual,Ganjil,Corporate Branding,4,5,Pilihan
ITS,S1 Desain Komunikasi Visual,Ganjil,Arcade Game,4,5,Pilihan
ITS,S1 Desain Komunikasi Visual,Ganjil,Basic CG Animation,4,5,Pilihan
ITS,S1 Desain Komunikasi Visual,Ganjil,Fotografi Eksperimen,4,5,Pilihan
ITS,S1 Desain Komunikasi Visual,Ganjil,Packaging,4,5,Pilihan
ITS,S1 Desain Komunikasi Visual,Genap,Visual Books,4,6,Pilihan
ITS,S1 Desain Komunikasi Visual,Genap,Immersive Creative Media,4,6,Pilihan
ITS,S1 Desain Komunikasi Visual,Genap,Environmental Branding,4,6,Pilihan
ITS,S1 Desain Komunikasi Visual,Genap,Serious Game,4,6,Pilihan
ITS,S1 Desain Komunikasi Visual,Genap,Experimental Animation,4,6,Pilihan
ITS,S1 Desain Komunikasi Visual,Genap,Sinematografi,4,6,Pilihan
ITS,S1 Desain Komunikasi Visual,Genap,Product Branding,4,6,Pilihan
