universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,S1 Teknik Elektro,Ganjil,Kalkulus 1,3,1,Wajib
ITS,S1 Teknik Elektro,Ganjil,Fisika 1,5,1,Wajib
ITS,S1 Teknik Elektro,Ganjil,Pengantar Teknologi Elektro,2,1,Wajib
ITS,S1 Teknik Elektro,Ganjil,Aljabar Linier dan Variabel Kompleks,3,1,Wajib
ITS,S1 Teknik Elektro,Ganjil,Rangkaian Listrik 1,3,1,Wajib
ITS,S1 Teknik Elektro,Ganjil,Dasar Pemrograman,3,1,Wajib
ITS,S1 Teknik Elektro,Genap,Kalkulus 2,3,2,Wajib
ITS,S1 Teknik Elektro,Genap,Fisika 2,5,2,Wajib
ITS,S1 Teknik Elektro,Genap,Kimia,3,2,Wajib
ITS,S1 Teknik Elektro,Genap,Persamaan Diferensial,3,2,Wajib
ITS,S1 Teknik Elektro,Genap,Rangkaian Listrik 2,3,2,Wajib
ITS,S1 Teknik Elektro,Ganjil,Matematika Diskrit,3,3,Wajib
ITS,S1 Teknik Elektro,Ganjil,Probabilitas dan Statistik,2,3,Wajib
ITS,S1 Teknik Elektro,Ganjil,Elektromagnetika,3,3,Wajib
ITS,S1 Teknik Elektro,Ganjil,Pengukuran Besaran Listrik,2,3,Wajib
ITS,S1 Teknik Elektro,Ganjil,Sinyal dan Sistem,3,3,Wajib
ITS,S1 Teknik Elektro,Ganjil,Rangkaian Elektronika,3,3,Wajib
ITS,S1 Teknik Elektro,Ganjil,Sistem Digital,2,3,Wajib
ITS,S1 Teknik Elektro,Ganjil,Lab. Sistem Digital, Pengukuran dan Rangk. Listrik,3,3,Wajib
ITS,S1 Teknik Elektro,Genap,Metode Numerik,2,4,Wajib
ITS,S1 Teknik Elektro,Genap,Dasar Sistem dan Jaringan Telekomunikasi,2,4,Wajib
ITS,S1 Teknik Elektro,Genap,Proses Stokastik,2,4,Wajib
ITS,S1 Teknik Elektro,Genap,Dasar Sistem Tenaga Listrik,3,4,Wajib
ITS,S1 Teknik Elektro,Genap,Dasar Sistem Kontrol,3,4,Wajib
ITS,S1 Teknik Elektro,Genap,Rangkaian Analog,3,4,Wajib
ITS,S1 Teknik Elektro,Genap,Sistem Mikroprosesor dan Mikrokontroler,3,4,Wajib
ITS,S1 Teknik Elektro,Genap,Lab. Elektronika, DST dan SP,3,4,Wajib
ITS,S1 Teknik Elektro,Ganjil,Pengolahan Sinyal Digital,2,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Elektronika Daya,3,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Instrumentasi Sistem Kontrol,3,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Teknologi IoT,2,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Analisis Sistem Tenaga,4,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Mesin Listrik,3,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Teknik Tegangan Tinggi,3,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Analisis dan Desain Sistem Kontrol,3,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Otomasi Sistem,3,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Sistem Kontrol Digital,2,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Teknik Optimisasi,2,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Dasar Sistem Elektronika Cerdas,2,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Elektronika Industri dan Robotika,3,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Perancangan Komponen Terprogram,2,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Perancangan Sistem Elektronika Analog,3,5,Wajib
ITS,S1 Teknik Elektro,Ganjil,Antena dan Propagasi Radio,4,5,Wajib
