universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,S1 Teknik Informatika,Ganjil,Calculus 1,3,1,Wajib
ITS,S1 Teknik Informatika,Ganjil,Fundamental Programming,4,1,Wajib
ITS,S1 Teknik Informatika,Ganjil,Digital System,3,1,Wajib
ITS,S1 Teknik Informatika,Ganjil,Linear Algebra,3,1,Wajib
ITS,S1 Teknik Informatika,Ganjil,Database System,4,1,Wajib
ITS,S1 Teknik Informatika,Genap,Data Structure,4,2,Wajib
ITS,S1 Teknik Informatika,Genap,Operating System,4,2,Wajib
ITS,S1 Teknik Informatika,Genap,Computer Organization,3,2,Wajib
ITS,S1 Teknik Informatika,Genap,Numerical Computation,3,2,Wajib
ITS,S1 Teknik Informatika,Genap,Calculus 2,3,2,Wajib
ITS,S1 Teknik Informatika,Genap,Introduction to Intelligent Electrical and Informatics Technology,2,2,Wajib
ITS,S1 Teknik Informatika,Ganjil,Web Programming,3,3,Wajib
ITS,S1 Teknik Informatika,Ganjil,Object Oriented Programming,3,3,Wajib
ITS,S1 Teknik Informatika,Ganjil,Computer Network,4,3,Wajib
ITS,S1 Teknik Informatika,Ganjil,Graph Theory,3,3,Wajib
ITS,S1 Teknik Informatika,Ganjil,Discrete Mathematics,3,3,Wajib
ITS,S1 Teknik Informatika,Ganjil,Artificial Intelligence Concepts,3,3,Wajib
ITS,S1 Teknik Informatika,Ganjil,Software Development Principles,2,3,Wajib
ITS,S1 Teknik Informatika,Genap,Network Programming,3,4,Wajib
ITS,S1 Teknik Informatika,Genap,Probabilistic and Statistic,3,4,Wajib
ITS,S1 Teknik Informatika,Genap,Automata,2,4,Wajib
ITS,S1 Teknik Informatika,Genap,Database Management,3,4,Wajib
ITS,S1 Teknik Informatika,Genap,Algorithm Design and Analysis,3,4,Wajib
ITS,S1 Teknik Informatika,Genap,Machine Learning,3,4,Wajib
ITS,S1 Teknik Informatika,Genap,Software Design,3,4,Wajib
ITS,S1 Teknik Informatika,Ganjil,Framework-based Programming,3,5,Wajib
ITS,S1 Teknik Informatika,Ganjil,Information Security,3,5,Wajib
ITS,S1 Teknik Informatika,Ganjil,Modeling and Simulation,3,5,Wajib
ITS,S1 Teknik Informatika,Ganjil,Computer Graphics,3,5,Wajib
