universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,S1 Teknik Lingkungan,Ganjil,Kalkulus 1,3,1,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Fisika 1,5,1,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Kimia 1,4,1,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Mikrobiologi,4,1,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Menggambar Teknik,3,1,Wajib
ITS,S1 Teknik Lingkungan,Genap,Kalkulus 2,3,2,Wajib
ITS,S1 Teknik Lingkungan,Genap,Fisika Listrik dan Magnet,4,2,Wajib
ITS,S1 Teknik Lingkungan,Genap,Statistik,3,2,Wajib
ITS,S1 Teknik Lingkungan,Genap,Perpetaan,3,2,Wajib
ITS,S1 Teknik Lingkungan,Genap,Kimia 2,4,2,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Mekanika Tanah dan Geohidrologi,3,3,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Hidrolika,3,3,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Pengetahuan Struktur,2,3,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Teknik Analisis Pencemar Lingkungan,3,3,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Pengelolaan Sumber Daya Air,3,3,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Pencemaran Udara dan Teknologi Pengendalian Emisi,3,3,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Keselamatan dan Kesehatan Kerja,3,3,Wajib
ITS,S1 Teknik Lingkungan,Genap,Sistem Distribusi Air Minum,4,4,Wajib
ITS,S1 Teknik Lingkungan,Genap,Sistem Penyaluran Air Limbah,4,4,Wajib
ITS,S1 Teknik Lingkungan,Genap,Sistem Drainase Perkotaan,4,4,Wajib
ITS,S1 Teknik Lingkungan,Genap,Unit Operasi,3,4,Wajib
ITS,S1 Teknik Lingkungan,Genap,Unit Proses,3,4,Wajib
ITS,S1 Teknik Lingkungan,Genap,Sistem Manajemen dan Audit Lingkungan,2,4,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Perencanaan Bangunan Pengolahan Air Minum,4,5,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Perencanaan Bangunan Pengolahan Air Limbah,4,5,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Analisis Mengenai Dampak Lingkungan,3,5,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Perencanaan Pengelolaan Sampah,4,5,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Manajemen dan Penganggaran Proyek,3,5,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Metode Penelitian,2,5,Wajib
ITS,S1 Teknik Lingkungan,Genap,Agama,2,6,Wajib
ITS,S1 Teknik Lingkungan,Genap,Pancasila,2,6,Wajib
ITS,S1 Teknik Lingkungan,Genap,Kewirausahaan Berbasis Teknologi,2,6,Wajib
ITS,S1 Teknik Lingkungan,Genap,Perencanaan Tempat Pemrosesan Akhir,4,6,Wajib
ITS,S1 Teknik Lingkungan,Genap,Pengelolaan Limbah Bahan Berbahaya dan Beracun,3,6,Wajib
ITS,S1 Teknik Lingkungan,Genap,Mata Kuliah Pilihan,2,6,Pilihan
ITS,S1 Teknik Lingkungan,Genap,Mata Kuliah Pilihan,2,6,Pilihan
ITS,S1 Teknik Lingkungan,Genap,Mata Kuliah Pengayaan,3,6,Pilihan
ITS,S1 Teknik Lingkungan,Ganjil,Bahasa Indonesia,2,7,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Kewarganegaraan,2,7,Wajib
ITS,S1 Teknik Lingkungan,Ganjil,Bahasa Inggris,2,7,Wajib
