universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Statistik Perencanaan,3,1,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Sistem Sumberdaya Alam dan Lingkungan,4,1,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pengantar Perencanaan Wilayah dan Kota,2,1,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Sistem Sosial dan Kependudukan,3,1,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pengantar Ekonomi,2,1,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Komputasi dan Komunikasi Perencanaan,4,1,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Morfologi Kota,2,2,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Proses Perencanaan,3,2,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Sistem Informasi Perencanaan,3,2,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Perumahan dan Permukiman,3,2,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Ekonomi Kota,2,2,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Hukum dan Administrasi Perencanaan,2,2,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Matematika,3,2,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Perencanaan Kota,3,3,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Sistem Transportasi,3,3,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Infrastruktur Wilayah dan Kota,3,3,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Metode Analisis Perencanaan,3,3,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Tata Guna Lahan,3,3,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pengembangan Masyarakat,3,3,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Perencanaan Tapak,3,3,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Ekonomi Wilayah,3,4,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Perencanaan Wilayah,3,4,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Perencanaan Pesisir,2,4,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Praktek Perencanaan Kota,4,4,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Analisis dan Lokasi Keruangan,3,4,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Praktek Perencanaan Transportasi,4,4,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Perancangan Kota,2,4,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Praktek Perencanaan Wilayah,4,5,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pembangunan Berkelanjutan,3,5,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Metodologi Penelitian,3,5,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Teknik Evaluasi Perencanaan,2,5,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Praktek Perencanaan Pesisir,4,5,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Teori Perencanaan,2,5,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pembiayaan Pembangunan,2,5,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Praktek Perancangan Kota,4,6,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Pengendalian Pembangunan,3,6,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Resiliensi Iklim dan Bencana,3,6,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Seminar,3,6,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Agama,2,6,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Pancasila,2,6,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Aplikasi Teknologi dan Transformasi Digital,3,6,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Mata Kuliah Pengayaan,3,7,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Mata Kuliah Pengayaan,3,7,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Mata Kuliah Pengayaan,2,7,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Kerja Praktek,4,7,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Kewirausahaan Berbasis Teknologi,2,7,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Bahasa Inggris,2,7,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Bahasa Indonesia,2,7,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Kewarganegaraan,2,7,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Genap,Tugas Akhir,6,8,Wajib
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Analisis Biaya Dampak Pembangunan,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Manajemen Konflik,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Manajemen Proyek,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Regenerasi Kota,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Perencanaan Tata Bangunan dan Lingkungan,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Sosiologi Perkotaan,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Perencanaan dan Pengembangan Real Estate,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Masalah Penataan Ruang,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pembangunan Ekonomi Lokal,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pengelolaan Kawasan Pesisir Terpadu,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pengelolaan Lingkungan,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Perencanaan Pariwisata,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Perencanaan Perdesaan,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Manajemen Pembangunan Daerah,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Manajemen Transportasi Perkotaan,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Pemodelan Land Use,3,7,Pilihan
ITS,S1 Teknik Perencanaan Wilayah dan Kota,Ganjil,Sistem Informasi Perencanaan Lanjut,3,7,Pilihan
