universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Bahasa Indonesia,2,1,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Fisika 1,4,1,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Gambar Teknik,2,1,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Kimia 1,3,1,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Matematika 1,3,1,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Mekanika Teknik Statis Tertentu,3,1,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Pancasila,2,1,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Genap,Agama,2,2,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Genap,Bahasa Inggris,2,2,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Genap,Fisika 2,3,2,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Genap,Gambar Teknik dengan Komputer,2,2,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Genap,Kewarganegaraan,2,2,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Genap,Matematika 2,3,2,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Genap,Mekanika Bahan,3,2,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Acuan dan Perancang,2,3,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Hidrolika,2,3,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Hidrologi,2,3,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Mekanika Tanah,4,3,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Mekanika Teknik Lanjut,4,3,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Pemetaan 1,3,3,Wajib
ITS,D4 Teknik Rekayasa Konstruksi Bangunan Air,Ganjil,Teknologi Beton dan Bahan Bangunan,3,3,Wajib
