universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Bahasa Inggris,2,1,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Fisika Dasar,3,1,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Bahan Material,3,1,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Matematika,3,1,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Menggambar Teknik,3,1,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Pengukuran Teknik,2,1,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Statika,2,1,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Bahan Teknik,2,2,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Kimia Terapan,3,2,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Kinetika dan Dinamika,2,2,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Mekanika Material,3,2,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Menggambar Mesin,3,2,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Termodinamika,3,2,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Computer Aided Drawing,3,3,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Elektronik Mesin 1,3,3,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Mesin-Mesin 1,3,3,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Mekanika Fluida,3,3,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Mekatronika,3,3,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Mesin-Mesin Listrik,2,3,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Perpindahan Panas,3,3,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Elektronik Mesin 2,3,4,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Elemen Mesin 2,3,4,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Energi Bahan Bakar 1,3,4,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Energi Terbarukan,2,4,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,K3L,3,4,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Pengendalian AC,3,4,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Sistem Hidrolik,3,4,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Teknik Otomotif 1,3,4,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Energi Baru Terbarukan 2,3,5,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Green Vehicle,3,5,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Kompresor,3,5,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Sistem Pneumatik,3,5,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Teknik Pemeliharaan dan Manajemen,3,5,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Turbin,2,5,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Kewirausahaan Berbasis Teknologi,2,6,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Magang,14,6,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Manajemen Proyek dan Etika,3,6,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Aplikasi Teknologi dan Transformasi Digital,3,7,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Boiler,2,7,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Internship,3,7,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Metode Komputasi,2,7,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Penulisan Ilmiah,3,7,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Ganjil,Sistem Kendali dan Rekayasa Mesin,3,7,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Agama,2,8,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Piping and Instrumentation Diagram,2,8,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Rekayasa Teknologi Cerdas,3,8,Wajib
ITS,D4 Teknik Rekayasa Konversi Energi,Genap,Proyek Akhir,5,8,Wajib
