universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Ganjil,Fisika Terapan,3,1,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Ganjil,Gambar Teknik,2,1,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Ganjil,Kimia Terapan,3,1,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Ganjil,Matematika,3,1,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Ganjil,Mekanika Teknik Statis Tertentu,3,1,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Ganjil,Pancasila,2,1,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Ganjil,Pemetaan,3,1,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Genap,Agama,2,2,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Genap,Gambar Teknik dengan Komputer,2,2,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Genap,Mekanika Bahan,2,2,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Genap,Mekanika Tanah,3,2,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Genap,Praktikum Pemetaan,2,2,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Genap,Rekayasa Lalu Lintas dan Perkerasan Jalan,4,2,Wajib
ITS,D4 Teknik Rekayasa Pengelolaan dan Pemeliharaan Bangunan Sipil,Genap,Teknologi Beton dan Bahan Bangunan,2,2,Wajib
