universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
ITS,S1 Teknik Sipil,Ganjil,Kalkulus 1,3,1,Wajib
ITS,S1 Teknik Sipil,Ganjil,Fisika Mekanika,4,1,Wajib
ITS,S1 Teknik Sipil,Ganjil,Statistika Dasar,3,1,Wajib
ITS,S1 Teknik Sipil,Ganjil,Pengantar Geologi,2,1,Wajib
ITS,S1 Teknik Sipil,Ganjil,Pemrograman Komputer,3,1,Wajib
ITS,S1 Teknik Sipil,Ganjil,Mekanika Teknik,3,1,Wajib
ITS,S1 Teknik Sipil,Genap,Kalkulus 2,3,2,Wajib
ITS,S1 Teknik Sipil,Genap,Fisika Listrik dan Magnet,3,2,Wajib
ITS,S1 Teknik Sipil,Genap,Kimia,3,2,Wajib
ITS,S1 Teknik Sipil,Genap,Hidrologi,2,2,Wajib
ITS,S1 Teknik Sipil,Genap,Rekayasa Lalu Lintas dan Pengenalan Transportasi,2,2,Wajib
ITS,S1 Teknik Sipil,Genap,Menggambar Bangunan Sipil,2,2,Wajib
ITS,S1 Teknik Sipil,Genap,Mekanika Bahan,3,2,Wajib
ITS,S1 Teknik Sipil,Ganjil,Kalkulus 3,3,3,Wajib
ITS,S1 Teknik Sipil,Ganjil,Metode Numerik,3,3,Wajib
ITS,S1 Teknik Sipil,Ganjil,Manajemen Konstruksi,2,3,Wajib
ITS,S1 Teknik Sipil,Ganjil,Mekanika Fluida dan Hidrolika,3,3,Wajib
ITS,S1 Teknik Sipil,Ganjil,Konstruksi Jalan Rel,2,3,Wajib
ITS,S1 Teknik Sipil,Ganjil,Geometrik Jalan Raya,2,3,Wajib
ITS,S1 Teknik Sipil,Ganjil,Teknologi Beton dan Material Maju,3,3,Wajib
ITS,S1 Teknik Sipil,Ganjil,Pemodelan dan Analisa Struktur,3,3,Wajib
ITS,S1 Teknik Sipil,Genap,Mekanika Tanah dan Teknik Pondasi,4,4,Wajib
ITS,S1 Teknik Sipil,Genap,Teknik Pengambilan Keputusan,2,4,Wajib
ITS,S1 Teknik Sipil,Genap,Operasi Konstruksi,2,4,Wajib
ITS,S1 Teknik Sipil,Genap,Perencanaan dan Perancangan Drainase,3,4,Wajib
ITS,S1 Teknik Sipil,Genap,Perencanaan Bandara,2,4,Wajib
ITS,S1 Teknik Sipil,Genap,Perkerasan Jalan Raya,2,4,Wajib
ITS,S1 Teknik Sipil,Genap,Elemen Struktur Baja,3,4,Wajib
ITS,S1 Teknik Sipil,Genap,Elemen Struktur Beton Bertulang,3,4,Wajib
ITS,S1 Teknik Sipil,Ganjil,Timbunan dan Konstruksi Penahan Tanah,5,5,Wajib
ITS,S1 Teknik Sipil,Ganjil,Perencanaan dan Pengendalian Proyek Konstruksi,3,5,Wajib
ITS,S1 Teknik Sipil,Ganjil,Perencanaan dan Perancangan Irigasi,3,5,Wajib
ITS,S1 Teknik Sipil,Ganjil,Rekayasa Jembatan Baja dan Beton,3,5,Wajib
ITS,S1 Teknik Sipil,Ganjil,Struktur Bangunan Baja,2,5,Wajib
ITS,S1 Teknik Sipil,Ganjil,Struktur Bangunan Beton Bertulang,2,5,Wajib
ITS,S1 Teknik Sipil,Ganjil,Perencanaan Bangunan Pantai,2,5,Wajib
ITS,S1 Teknik Sipil,Ganjil,Perencanaan Pelabuhan,2,5,Wajib
ITS,S1 Teknik Sipil,Genap,Perancangan Struktur Bangunan Gedung,3,6,Wajib
ITS,S1 Teknik Sipil,Genap,Perancangan Bangunan Sungai,3,6,Wajib
ITS,S1 Teknik Sipil,Genap,Desain dan Pengadaan Proyek Konstruksi,2,6,Wajib
ITS,S1 Teknik Sipil,Genap,Agama,2,6,Wajib
ITS,S1 Teknik Sipil,Genap,Pancasila,2,6,Wajib
ITS,S1 Teknik Sipil,Genap,Kewirausahaan Berbasis Teknologi,2,6,Wajib
ITS,S1 Teknik Sipil,Genap,Aplikasi Teknologi dan Transformasi Digital,3,6,Wajib
ITS,S1 Teknik Sipil,Ganjil,Perancangan Jalan dan Jembatan,3,7,Wajib
ITS,S1 Teknik Sipil,Ganjil,Teknik Penulisan Ilmiah,2,7,Wajib
ITS,S1 Teknik Sipil,Ganjil,Kerja Praktik,3,7,Wajib
ITS,S1 Teknik Sipil,Ganjil,Bahasa Indonesia,2,7,Wajib
ITS,S1 Teknik Sipil,Ganjil,Kewarganegaraan,2,7,Wajib
ITS,S1 Teknik Sipil,Ganjil,Bahasa Inggris,2,7,Wajib
ITS,S1 Teknik Sipil,Ganjil,Pengayaan,2,7,Wajib
ITS,S1 Teknik Sipil,Genap,Tugas Akhir,6,8,Wajib
ITS,S1 Teknik Sipil,Genap,Metode Elemen Hingga,3,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Dinamika Struktur,3,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Struktur Bangunan Beton Bertulang Tahan Gempa,3,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Struktur Bangunan Baja Tahan Gempa,3,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Rekayasa Jembatan Bentang Panjang,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Evaluasi dan Perkuatan Struktur,3,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Struktur Kayu,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Pondasi Lanjut,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Pondasi Beban Dinamis,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Metode Perbaikan Tanah,3,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Pondasi di atas Lapisan Batuan,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Jaringan Perpipaan Air Baku,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Pemodelan Pantai,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Pengelolaan Sumber Daya Air,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Pengoperasian dan Pemeliharaan Bangunan Air,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Perencanaan dan Perancangan Waduk,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Perencanaan dan Perancangan Tenaga Air,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Ekonomi Jalan Raya,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Fasilitas Angkutan Penumpang dan Barang,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Permintaan Transportasi,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Geometrik Jalan Rel,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Struktur Fasilitas Pelabuhan,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Konektivitas Transportasi Udara,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Manajemen Pelabuhan,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Analisis Kuantitatif untuk Manajemen,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Optimasi Waktu dan Biaya Proyek Konstruksi,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Penilaian Properti,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Studi Kelayakan Proyek Konstruksi,2,8,Pilihan
ITS,S1 Teknik Sipil,Genap,Topik Khusus,2,8,Pilihan
