universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Pancasila,2,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Kewarganegaraan,2,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Matematika - 1,2,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Rangkaian Listrik 1,2,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Pengukuran Listrik dan Instrumentasi,2,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Piranti Elektronika,2,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Elektronika Digital 1,2,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Workshop Algoritma dan Pemrograman,2,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Gambar Teknik,1,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Praktikum Elektronika Digital 1,1,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Praktikum 1.1 : Rangkaian Listrik 1 dan Pengukuran Listrik,1,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Praktikum Piranti Elektronika,1,1,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Agama,2,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Matematika-2,2,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Rangkaian Listrik 2,2,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Rangkaian Elektronika,2,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Elektronika Digital 2,2,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Fisika dan Elektromagnet,2,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Workshop Pemrograman Lanjut,2,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Proyek Elektronika 1,2,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Praktikum Elektronika Digital 2,1,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Praktikum Rangkaian Listrik 2,1,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Praktikum Rangkaian Elektronika,1,2,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,MK Pilihan : Kreatifitas Mahasiswa 1*,1,2,Pilihan
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Pengaturan Otomatis,2,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Rangkaian Linear Aktif,2,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Elektronika Industri 1,2,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Robotika,2,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Dasar Sistem Tenaga Listrik,2,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Praktikum 3.1 : Robotika dan DSTL,1,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Proyek Elektronika 2,2,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Workshop Sistem Mikroprosesor dan Antar Muka,2,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Praktikum 3.2: Pengaturan Otomatis dan Elektronika Industri 1,1,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Praktikum Rangkaian Linear Aktif,1,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,Metode Numerik,2,3,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,MK Pilihan : Kreatifitas Mahasiswa 2*,1,3,Pilihan
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Bahasa Indonesia,2,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Bahasa Inggris Teknik,2,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Proposal Proyek Akhir,1,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Pengolahan Sinyal,2,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Workshop Piranti Terprogram,2,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Elektronika Industri 2,2,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Instrumentasi Elektronika,2,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Workshop Manufaktur Terpadu,2,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Workshop Mikrokontroler,2,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Praktikum Elektronika Industri 2,1,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,Praktikum 4.1 : Pengolahan Sinyal dan Instrumentasi Elektronika,1,4,Wajib
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Genap,MK Pilihan : Kreatifitas Mahasiswa 3*,1,4,Pilihan
Politeknik Elektronika Negeri Surabaya,D3 Teknik Elektronika,Ganjil,MK MBKM / MK Kerja Praktek / MK Pilihan **,20,5,Pilihan
