universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Teori Bangunan Kapal,2,1,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Gambar Teknik,5,1,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Pemrograman Komputer,2,1,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Bahasa Indonesia,2,1,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Dasar-dasar K3,2,1,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Matematika Dasar,3,1,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Pengantar Teknologi Kelautan,2,1,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Agama,2,1,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Perancangan Kapal,2,2,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Tugas Gambar Rencana Garis,4,2,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Praktek Bengkel,2,2,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Mekanika Terapan,2,2,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Matematika Teknik,3,2,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Bahasa Inggris Dasar,3,2,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Fisika,2,2,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Kimia,2,2,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Tugas Gambar Hidrostatik Bonjean dan Diagram Kebocoran,3,3,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Tugas Gambar Rencana Umum,4,3,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Teknologi Las dan Praktek,3,3,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Tahanan dan Propulsi,2,3,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Konstruksi Kapal,2,3,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Ganjil,Bahasa Inggris Teknik,3,3,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,TG Melintang dan Memanjang TG Bukaan Kulit,5,4,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Pesawat Angkat,2,4,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Kapal Non Baja,4,4,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Ekonomi Teknik,2,4,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Teknologi Reparasi Kapal,2,4,Wajib
Politeknik Perkapalan Negeri Surabaya,D4 Teknik Perancangan dan Konstruksi Kapal,Genap,Ilmu Bahan,2,4,Wajib
