universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Fiqh Ibadah",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Ilmu Kalam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Logika",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Orientasi Filsafat",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Sejarah Peradaban Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Literasi Digital dan Manajemen Referensi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Filsafat Islam [Paripatetik dan Iluminasi]",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Pemikiran Modern dalam Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Tasawuf dan Tarekat di Indonesia",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Tauhid",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Pengantar Studi Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Epistemologi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Filsafat Barat Klasik-Pertengahan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Ontologi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Pemikiran Kontemporer dalam Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Sains dan Agama",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Filsafat Teknologi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Feminisme Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Kajian Teks Arab Aqidah dan Falsafah Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Critical Thinking",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Filsafat Jawa",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Filsafat Sejarah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Filsafat Ilmu",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Filsafat Kebudayaan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Filsafat Manusia",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Pendidikan Aqidah dan Kefilsafatan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Sosiologi Agama",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Gerakan dan Ideologi Islam Modern-Kontemporer",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Etika dan Estetika",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Teologi dan Filsafat Lingkungan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Filsafat Modern",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Metode Penelitian",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Filsafat Ketuhanan",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Etnografi Budaya dan Media",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Islamic Content Creation",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Filsafat Analitik",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Filsafat Kontemporer",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Hermeneutika",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Kajian Teks Inggris Teologi dan Filsafat Barat",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Manajemen Lembaga Sosial-Keagamaan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Seminar Proposal Skripsi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Al-Qur'an dan Sains/Malaysia",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Islam dan Kemanusiaan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Riset Kolektif",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Entrepreneurship",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Jurnalistik dan Broadcasting",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Islam dan Isu-isu Kontemporer",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Islam dan Post-Kolonialisme",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Etika Profesi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Kepemimpinan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Komunikasi Publik",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Manajemen Lembaga",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Praktik Organisasi",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Pengembangan Diri",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Manajemen Sekolah",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Perencanaan Pembelajaran",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Praktik Pengajaran",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Perencanaan Riset",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Praktik Riset",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Genap","Pelaporan dan Publikasi Riset",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Aqidah Dan Filsafat Islam","Ganjil","Publikasi Ilmiah",3,7,"Wajib"
