universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Pengantar Akuntansi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Pengantar Ekonomi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Pengantar Bisnis",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Matematika Ekonomi",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Statistika 1",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Pengantar Akuntansi 2",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Akuntansi Biaya",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Perpajakan",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Manajemen Keuangan 1",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Fiqh dan Ushul Fiqh",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Aspek Hukum dalam Ekonomi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Akuntansi Keuangan Menengah 1",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Investasi dan Pasar Modal",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Akuntansi Perpajakan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Akuntansi Manajerial",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Etika Profesi dan Tata Kelola Korporasi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Manajemen Keuangan 2",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Akuntansi Sektor Publik",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Bahasa Indonesia",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Analisis Laporan Keuangan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Pengauditan 1",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Kewirausahaan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Manajemen Risiko",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Akuntansi Keuangan Menengah 2",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Teori Akuntansi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Penganggaran",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Sistem Informasi Akuntansi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Akuntansi Keuangan Lanjutan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Pengauditan 2",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Metodologi Penelitian",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Pemberdayaan Masyarakat",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Akuntansi Syariah",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Audit Internal",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Sistem Pengendalian Internal",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Akuntansi Forensik dan Audit Investigatif",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Akuntansi Sosial dan Lingkungan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Isu-isu Kontemporer Akuntansi Keuangan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Isu-isu Kontemporer Akuntansi Manajemen",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Komunikasi Bisnis",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Perencanaan dan Pelaporan Pajak",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Pelaporan Keuangan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Tata Kelola Organisasi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Sistem Informasi Manajemen",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Perencanaan Audit",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Genap","Manajemen Operasional",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Publikasi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Akuntansi","Ganjil","Skripsi",6,7,"Wajib"
