universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Matematika Arsitektur",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Mekanika Teknik",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Gambar Teknik",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Dasar Perancangan Arsitektur 1",5,1,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Sejarah dan Teori Arsitektur",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Fisika Bangunan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Aplikasi Komputer Arsitektur",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Struktur dan Konstruksi Bangunan 1",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Dasar Perancangan Arsitektur 2",5,2,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Arsitektur Nusantara",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Metode Perancangan Arsitektur",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Sains dan Teknologi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Struktur dan Konstruksi Bangunan 2",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Studio Perancangan Arsitektur 1",6,3,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Integrasi Keilmuan Twin Tower",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Studi Al-Hadis",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Khasanah Arsitektur Islam 1",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Dasar Perumahan Permukiman",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Utilitas",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Desain Struktur Bangunan 1",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Dasar Perancangan Tapak",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Studio Perancangan Arsitektur 2",6,4,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Genap","Bahasa Indonesia",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Khasanah Arsitektur Islam 2",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Arsitektur Hijau",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Dasar Perancangan Kota",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Arsitektur","Ganjil","Manajemen Proyek",2,5,"Wajib"
