universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Pengantar Ilmu Hukum",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Hukum Peribadatan Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Pengantar Hukum Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Studi Hukum Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Hukum Adat",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Peradilan di Indonesia",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Hukum Peradilan Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Ilmu Negara",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Hadis Hukum Keluarga",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Tafsir Hukum Keluarga",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Genap","Hukum Zakat dan Wakaf",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Kajian Teks Hukum Keluarga Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","English for Family Studies",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Hukum Tata Negara Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Hadis Hukum Peradilan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Hukum Agraria",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Hukum Perdata Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Hukum Perkawinan dan Kewarisan Adat",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Hukum Pidana Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Hukum Tata Negara",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Keluarga Islam Ahwal Al Syakhsiyah","Ganjil","Kaidah Fiqhiyah",2,3,"Wajib"
