universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Akhlak Tasawuf",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Kajian Teks Tasawuf",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Orientasi Filsafat",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Pengantar Psikologi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Public Speaking",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Teknik Penulisan Karya Ilmiah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Pengantar Tasawuf dan Tarekat",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Mazhab Tasawuf",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Ilmu Kalam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Kesehatan Mental",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Pancasila",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Hadis Sufi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Penelitian Kualitatif & Kuantitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Psikologi Konseling",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Quantum Healing",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Tafsir Sufi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Tasawuf dan Budaya",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Tazkiyatun Nafs",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Psikologi Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Psikoterapi Umum",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Tasawuf Nusantara",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Desain Pelatihan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Metode Pengabdian Kepada Masyarakat",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Filsafat Ilmu",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Pengembangan Diri",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Sufi Healing",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Critical Thinking",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Sejarah Peradaban Islam",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Tasawuf dan Tradisi Pesantren",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Kecerdasan Emosi dan Spiritual",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Maqamat dan Ahwal",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Patologi Sosial",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Praktikum Tasawuf dan Psikoterapi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Psikologi Kepribadian Islam",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Tarekat Muktabarah",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Tasawuf Modern Dan Kontemporer",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Kajian Kitab Turast Nusantara",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Psychospiritual human crisis",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Psychospiritual building",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Fiqih dan Tasawuf",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Antropologi Tasawuf",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Filsafat Akhlak",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Metode Pengajaran Akhlak Tasawuf",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Merancang Program  Belajar Mengajar",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Mengembangan Perangkat Belajar Mengajar",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Melaksanakan Program  Belajar Mengajar",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Mengevaluasi Program  Belajar Mengajar",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Mengembangkan Laporan  Belajar Mengajar",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Merancang Program Magang Kerja",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Mengembangkan Perangkat Magang Kerja",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Melaksanakan Program Magang Kerja",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Mengevaluasi Program Magang Kerja",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Genap","Mengembangkan Laporan Magang Kerja",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Publikasi Ilmiah",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Tasawuf Dan Psikoterapi","Ganjil","Skripsi",6,7,"Wajib"
