universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Biologi Umum",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Matematika",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Kimia dasar",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Fisika Dasar",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Biologi sel",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Ekologi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Mikrobiologi dasar",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Struktur hewan",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Struktur tumbuhan",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Fisiologi Hewan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Fisiologi Tumbuhan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Genetika",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Sintesis dan Pemisahan Senyawa",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Sistematika Hewan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Sistematika Tumbuhan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Integrasi Keilmuan Twin Tower",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Studi Al-Hadis",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Bioetik",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Biologi Molekuler",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Biostatistik",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Imunologi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Instrumen dan Pengukuran",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Mikologi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Perkembangan Hewan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Perkembangan Tumbuhan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Metodologi Penelitian",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Bioteknologi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Biokonservasi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Bioteknopreneur",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Evolusi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Kultur Jaringan Hewan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Kultur Jaringan Tumbuhan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Mikrobiologi Industri",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Mikrobiologi Lingkungan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Mikroteknik",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Kapita Selekta",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Praktik Kerja Lapangan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Seminar Proposal",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Teknik Biologi Lab & Lapangan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Seminar MBKM",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Teknik Sampling",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","analisis data biodiversitas",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Pengembangan Bioproduk",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Virologi",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Analisis Spektrometri",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Serologi",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Inventaris dan Pemantauan Hidupan Liar",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Hematologi",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Pengendalian Hama dan Penyakit Tanaman",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Analisis Kualitas Lingkungan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","HACCP",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Pengelolaan Kawasan Konservasi",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Teknik Budidaya",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Biota Laut",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Mikrobiologi Kesehatan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Teknologi pupuk & pemupukan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Bioaktivitas Bahan Alam",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Biokimia",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Biodiversitas",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Pengelolaan Sampah",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Mikrobiologi Terapan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Genetika Mikroba",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Entomologi",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Genetika Terapan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Bioteknologi Pertanian",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Biologi Perikanan / Akuakultur",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Manajemen Proyek (Project Management)",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Ganjil","Publikasi Ilmiah",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Biologi","Genap","Skripsi",6,8,"Wajib"
