universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Pengantar Bimbingan Konseling",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Pengantar Psikologi",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Ilmu Dakwah",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Sejarah Dakwah",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Pemahaman Individu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Psikologi Perkembangan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Konseling Psikodinamik dan Humanistik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Filsafat Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Tafsir Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Hadis Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Statistik Sosial",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Konseling Kognitif dan Behavioristik",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Keterampilan Komunikasi Konseling",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Psikologi Kepribadian",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Tafsir BKI",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Hadis BKI",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Kesehatan Mental",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Patologi Muslim",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Metode Penelitian Kuantitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Konseling Ekspresif dan Posmodern",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Bimbingan dan Konseling Kelompok",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Konseling Multikultural",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Appraisal Konseling",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Manajemen BKI",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Pengembangan Multimedia BKI",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Bimbingan Konseling Islam",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Metode Penelitian Kualitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Psikoterapi Islam",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Konseling Mikro dan Makro",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Konseling Qur'ani",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Dakwah dan Konseling Digital",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Konseling Karir dan Industri",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Konseling Rumah Sakit",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Neurosains (NLP dan Hipnoterapi)",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Ganjil","Metode Penelitian Konseling",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Psikologi Klinis",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Konseling Spiritual",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Interpersonal and Motivational Skill",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Teori dan Pendekatan Inklusi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Intervensi Inklusi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Rehabilitasi Sosial",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Konseling Krisis dan Trauma",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Bimbingan Konseling Keluarga Sakinah",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Family Therapy",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Konseling Anak dan Remaja",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Konseling Dewasa dan Manula",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Manajemen BK Pesantren dan Madrasah",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Asesmen Masalah Santri",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bimbingan Dan Konseling Islam","Genap","Psikoterapi Berbasis Nilai Pesantren",3,6,"Wajib"
