universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Nahwu Nazari",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Maharat al Qira’ah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Maharah al Kitabah al Muwajjahah",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Maharat al-Istima’ Fusha Qadimah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Ilmu Lughah al ‘Am",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Sejarah Sastra Arab Klasik",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Sintaksis Arab",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Fonologi Arab",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Morfologi Arab",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Budaya dan Geografi Arab",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Maharah al Kalam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Semantik Arab",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Maharah al Kitabah al Hurrah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Maharah al Istima’ Fusha Mu’asirah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Ilmu Arudl  wa al Qawafi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Sejarah Sastra Arab Kontemporer",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Ilmu al-Lughah al-Nafsi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Lahjah Arabiyah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Ilmu Ma’ani",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Dirasah Syi’riyah",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Ilm al Adab al Nafsi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Metodologi Penelitian",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Thariqah Tadris Al Arabiyah Nazariyah",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Ilmu Al Adab Al Ijtima’i",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Tarjamah Tahririyah",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Stilistika Arab",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Arabic Public Speaking",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Ilmu Bayan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Dirasah Natsriyah",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Digital Humanities",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Leksikografi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Jurnalistik Arab",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Naqd Adab",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Ilmu Lughah al Ijtima’i",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Maharah Al Qira’ah Al Mutaqaddimah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Fiqh al Lughah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Dirasah Masrahiyah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Adab Muqarran",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Ilmu Badi’",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Tarjamah Fauriyah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Ganjil","Filologi Arab",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Edupreneurship",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Desain Pembelajaran",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Micro Teaching",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Evaluasi Pembelajaran Bahasa dan Sastra Arab",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Media Pembelajaran Bahasa dan Sastra Arab",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Pengembangan Bahan Ajar Bahasa dan Sastra Arab",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Analisis Buku Bahasa Arab",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Teori Penerjemahan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Audio -Visual Translation",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Interpreting Practice",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Simoultaneous interpreting",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Praktik Penerjemahan",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Bahasa Dan Sastra Arab","Genap","Metodologi Penerjemahan",2,6,"Wajib"
