universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Bahasa Inggris Ekonomi",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Bahasa Arab Ekonomi",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Akuntansi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Pengantar Ilmu Ekonomi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Matematika Ekonomi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Sejarah Pemikiran Ekonomi Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Makro ekonomi Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Mikro ekonomi Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Akuntansi Syariah",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Perbankan Syariah dan Perekonomian di Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Aplikasi Komputer",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Statistik",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Sistem  Informasi Akuntansi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Kaidah Fiqh Ekonomi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Bank dan Lembaga Keuangan Syariah",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Pengantar Bisnis",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Perbandingan Sistem Perekonomian",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Ekonomi Moneter",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Ekonometrika",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Ushul Al Iqtishad",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Metodologi Penelitian Ekonomi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Ekonomi Pembangunan Syariah",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Manajemen Lembaga Keuangan Syariah",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Aspek Hukum dalam Bisnis",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Sistem Ekonomi Islam",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Kewirausahaan dan Industri Halal",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Fikih Kontemporer",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Pasar Uang dan Pasar Modal Syariah",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Ekonomi dan Keuangan Islam Internasional",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Analisis Portofolio Syariah",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Sistem Audit Lembaga Keuangan Syariah",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Pengembangan Produk Keuangan Syariah",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Project dan Simulasi Keuangan",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Ekonomi Kreatif dan Inovasi",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Ekonomi Digital",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Kewirausahaan Sosial dan Filantropi Islam",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Project dan Simulasi Kewirausahaan",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Sistem Penganggaran Pembangunan",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Ekonomi Politik dan Pembangunan",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Pajak dan Zakat dalam Sistem Pemerintahan",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Project dan Simulasi Kebijakan",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Manajemen Risiko Lembaga Keuangan Islam*",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Analisis Pembiayaan Lembaga Keuangan Syariah*",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Akuntansi Perbankan Syariah*",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Manajemen Keuangan Syariah**",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Analisis Laporan Keuangan Bank dan LKS*",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Manajemen Pemasaran Islam**",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Manajemen Operasional Bisnis Islam**",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Studi Kelayakan Bisnis**",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Analisis Kebijakan Publik***",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Ekonomi Publik***",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Ekonomi Moneter Islam***",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Genap","Evaluasi Proyek Pembangunan***",5,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Publikasi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ekonomi Syariah","Ganjil","Skripsi",6,7,"Wajib"
