universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Dasar Ilmu Gizi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Anatomi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Fisiologi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Statistik Kesehatan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Biologi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Ilmu Bahan Pangan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Psikologi Gizi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Kimia Dasar",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Ilmu Kesehatan Masyarakat",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Sosioantropologi Gizi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Kimia Pangan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Metabolisme Energi dan Gizi Makro",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Penilaian Status Gizi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Gizi Daur Kehidupan 1",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Kuliner Dietetik 1",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Manajemen Penyelenggaraan Makanan 1",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Patofisiologi Penyakit (PM & PTM)",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Penilaian Konsumsi Pangan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Pangan Fungsional",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Kuliner Dietetik 2",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Gizi Daur Kehidupan 2",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Pengolahan dan Pengawetan Makanan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Gizi Olahraga",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Komunikasi Kesehatan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Manajemen Penyelenggaraan Makanan 2",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Ekologi Pangan dan Gizi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Mutu dan Keamanan Pangan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Epidemiologi Gizi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Metabolisme Energi dan Gizi Mikro",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Genap","Interaksi Obat dan Makanan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Ilmu Teknologi Pangan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Metodologi Penelitian Gizi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Manajemen Program Gizi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Fiqh dan Maqashid Halal",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Gizi","Ganjil","Dietika Penyakit Infeksi dan Defisiensi",3,5,"Wajib"
