universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Orientasi Filsafat",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Qawaidul Lughah",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Sejarah Peradaban Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Sirah Nabawiyah",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Tauhid",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Qira'ah Kutub al-Hadith",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Maktabah Hadis Digital",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Ulumul Hadis (Riwayah dan Dirayah)",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Hifzh Arba'ina Hadithan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Ushul Fiqh",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Hadis Hadis Dhaif",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Khobar Maudhu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Pancasila",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Studi Kitab-kitab Hadis",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Metodologi Penelitian",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Hadis Maudhui",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Metode Kritik Hadis",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Hermeneutika Hadis",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Studi Hadis Kawasan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Ilmu Gharib al-Hadith",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Kajian Living hadis",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Ilmu Takhrij al-Hadith",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Tarjamah Hadis",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Balaghat al-Hadith",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Ilmu Sharh al-Hadith",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Fiqh Kontemporer",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Ilmu Mantiq (Critical Thinking)",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Kajian Barat atas Hadis",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Mazhab dan Aliran Ahli Hadis",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Filsafat Ilmu",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Metodologi Penelitian Hadis",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Ilmu Asanid al-Hadith",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Ilmu Mukhtalif al-Hadith",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Ilmu Kalam",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Asbab Wurud al-hadith",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Hadis Tahlili",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Academic Writing",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Hadis-Hadis Aqidah, Syariah, akhlak",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Hadis-Hadis Sosial Budaya",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Hadis-Hadis Tarbawi, Sains dan Teknologi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Managemen Referensi dan Literasi digital",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Metode dan Praktik Pengajaran Hadis",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Metode Pemberdayaan Masyarakat",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Studi Hadis Kontemporer",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Studi Hadis Nusantara",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Teori-Teori Sosial dalam Studi Hadis",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Ma'anil Hadis",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Studi Kitab-Kitab Hadis",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Hadis dan Media Sosial",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Analisis Sosial Keagamaan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Perencanaan Proposal Riset",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Riset: Literature Review",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Teknik Pengumpulan Data Riset",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Pengolahan Data Riset",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Analisis Data Riset",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Penyusunan Laporan Riset",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Etika Profesi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Manajemen kelembagaan dan organisasi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Komunikasi Publik",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Kepemimpinan efektif",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Analisis sosial",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Teknik Perancangan Program",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Etika Profesi Guru",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Manajemen pendidikan dan sekolah",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Perencanaan pembelajaran (Hadist)",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Pengembangan media pembelajaran (Hadist)",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Pengembangan Evaluasi pembelajaran (Hadist)",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Genap","Micro teaching",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Seminar Proposal Hadis",2,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Publikasi Ilmiah",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Hadist","Ganjil","Skripsi",6,7,"Wajib"
