universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Filsafat Hubungan Internasional",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Al-Arabiyah li al-Alaqat al-Dualiyah",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Teori Hubungan Internasional Positivis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Organisasi & Administrasi Internasional",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Kajian Keamanan Tradisional",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Manajemen dan Kepemimpinan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Geopolitik & Globalisasi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Teknologi Informasi & Politik Global",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Kajian Konflik & Perdamaian",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Ekonomi Politik Global",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Genap","Public Speaking",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Bahasa Mandarin",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","English for International Relations",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hubungan Internasional","Ganjil","Hubungan Internasional dalam Perspektif Islam",3,3,"Wajib"
