universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Pengantar Ilmu Hukum",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Pengantar Hukum Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Ilmu Negara",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Studi Hukum Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Perdata",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Pidana",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Ushul Fiqh",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Tata Negara",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Administrasi Negara",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Agraria",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Dagang",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum dan Hak Asasi Manusia",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Internasional",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Lingkungan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Pemerintahan Daerah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Perbankan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Perkawinan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Adat",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Acara Perdata",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Acara Pidana",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Humaniter",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Keadvokatan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Metodologi Penelitian Hukum",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Penemuan Hukum",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Teknik Perancangan Kontrak",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Teknik Perancangan Perundang-undangan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Ilmu Falak",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Acara Peradilan Tata Usaha Negara",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Acara Mahkamah Konstitusi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Ketenagakerjaan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Acara Peradilan Agama",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Peribadatan Islam",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Kriminologi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Legal Opinion",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Hukum Kepegawaian",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Praktik Peradilan Agama",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Pidana Khusus",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Perlindungan Perempuan dan Anak",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Simulasi Sidang Peradilan",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum Kepailitan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Hukum dan Kebijakan Publik",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Alternatif Penyelesaian Sengketa",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Etika Profesi Hukum",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Legal Praktik",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Publikasi Berbasis Program Studi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum","Genap","Skripsi",6,8,"Wajib"
