universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Ganjil","Pengantar Ilmu Hukum",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Ganjil","Dasar-Dasar Ilmu Politik",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Ganjil","Dasar-Dasar Ilmu Pemerintahan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Genap","Pengantar Hukum Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Genap","Studi Hukum Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Genap","Ushul Fiqh",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Genap","Hukum Tata Negara",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Genap","Ilmu Negara",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Tatanegara Siyasah","Genap","Fikih Siyasah",3,2,"Wajib"
