universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Pengantar Akuntansi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Pengantar Manajemen",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Pengantar Ekonomi Mikro",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Pengantar Ekonomi Makro",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Mikro I",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Makro I",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Matematika Ekonomi I",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Aplikasi Komputer",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Statistika Deskriptif",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Mikro II",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Makro II",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Pembangunan I",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Matematika Ekonomi II",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Statistik Inferensi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Sejarah Pemikiran Ekonomi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Perekonomian Indonesia",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonometrika Dasar",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Metodologi Penelitian Ekonomi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonometrika Lanjutan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Perencanaan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Islam",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Internasional",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Pembangunan II",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Moneter",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Aspek Hukum dalam Ekonomi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Digital",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Regional",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Kreatif",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Keuangan Daerah",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Politik",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi SDA dan Lingkungan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Perkotaan dan Sustainabilitas",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Bank dan Lembaga Keuangan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Perdagangan Internasional",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Bank Sentral dan Kebijakan Moneter",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Industri dan Perdagangan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Pedesaan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Ekonomi Perencanaan 2",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Partisipasi dalam Pembangunan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Kreativitas dan Inovasi Desa",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Internship Lembaga  Ekonomi",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Teknik Perencanaan Pembangunan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Kelembagaan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Keuangan Negara",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Pemberdayaan Masyarakat",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Workshop Ekonomi Kreatif",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Workshop Ekonomi Digital",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Studi Ekonomi Kawasan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Bisnis Internasional",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Workshop Bank dan Lembaga Keuangan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Kewirausahaan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Agribisnis",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Genap","Ekonomi Kepariwisataan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Publikasi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Ekonomi","Ganjil","Skripsi",6,7,"Wajib"
