universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Pengantar Ilmu Hukum",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Pengantar Ilmu Falak",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Studi Hukum Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Hukum Peribadatan Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Pengantar Hukum Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Hukum Kewarisan Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Tafsir Ayat Hukum Falak",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Hadis Hukum Falak",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Fikih Hisab Rukyat",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Ushul Fiqh",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Astronomi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Astronomi Bola",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hisab Arah Kiblat dan Waktu Shalat",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hisab Awal Bulan Qamariyah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hisab Gerhana",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Perkawinan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Kaidah Fiqhiyah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Kajian Kitab Ilmu Falak I",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Matematika Astronomi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Hukum Perdata",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Hukum Pidana",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Algoritma Pemrograman",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Astrofisika",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Ethno-Falak",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Kajian Hisab Rukyat di Dunia",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Kajian Kitab Ilmu Falak II",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Metodologi Penelitian",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Sistem Penanggalan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Statistika",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Acara Peradilan Agama",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Acara Perdata",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Acara Pidana",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Adat",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Hak Asasi Manusia",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Internasional",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Tata Negara",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Hukum Tata Negara Islam",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Kompilasi Hukum Ekonomi Syariah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Legal Drafting dan Opinion",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Praktik Peradilan Agama",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Alternatif Penyelesaian Sengketa",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Etika Profesi Hukum",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Hukum Administrasi Negara",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Instrumen Astronomi Islam",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Praktikum Hisab dan Rukyat",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Kewirausahaan Falak",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Observatorium, Planetarium dan Laboratorium Falak",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Praktik Hisab dan Rukyat",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Ganjil","Publikasi Akademik",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Falak","Genap","Skripsi",6,8,"Wajib"
