universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Oseanografi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Biologi Laut",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Geologi dan Geomorfologi Laut",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Biokimia Laut",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Ikhtiologi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Planktonologi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Widya Selam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Meteorologi Laut",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Integrasi Keilmuan Twin Tower",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Ekologi Laut",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Mikrobiologi Laut",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Survey Hidro-oseanografi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Koralogi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Statistika",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Pemrograman Komputer",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Pencemaran & Toksikologi Laut",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Bioteknologi Laut",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Teknologi Marikultur",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Analisis Data Hidro-oseanografi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Sosial Budaya Masyarakat Pesisir",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Metodologi Penelitian",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Sistem Informasi Geospasial",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Konservasi Sumberdaya Pesisir Laut",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Proyek Survei Hidro-Oseanografi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Pengembangan Masyarakat Pesisir",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Pemodelan Oseanografi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Kewirausahaan dan Ekonomi Kreatif",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Fiqih Kelautan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Ganjil","Pemetaan Sumberdaya Kelautan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Manajemen Proyek (Project Management)",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Magang",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Deseminasi",1,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","KKN",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Digital Marketing",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Manajemen Proyek",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Communication Skill",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Profesional Ethics",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Analytical Skill",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Selam Keahlian",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Kelautan","Genap","Bioteknologi Terapan",3,6,"Wajib"
