universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Pengantar Ilmu Politik",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","English for Political Sciences",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Public Speaking",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Genap","Qur`an dan Hadist Politik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Genap","Teori-Teori Politik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Genap","Filsafat Politik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Genap","Metodologi Ilmu Politik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Genap","Statistik Sosial",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Genap","Administrasi Publik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Genap","Al-Arabiyah li al-Ulum Al-Siyasiyah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Etika Politik",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Metode Penelitian Kualitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Metode Penelitian Kuantitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Partai Politik dan Pemilu",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Politik dan Pemerintahan Lokal",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Politik","Ganjil","Sistem Politik Indonesia",3,3,"Wajib"
