universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Ilmu Komunikasi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Studi Hukum Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Akhlak Tasawuf",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Statistik Sosial",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Tafsir Komunikasi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Hadis  Komunikasi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Filsafat Komunikasi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Psikologi Komunikasi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Sosiologi Komunikasi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Jurnalistik Media Massa",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Teori Komunikasi Persona",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Metode Penelitian Kuantitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Komunikasi Antarbudaya",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Komunikasi Sosial",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Desain Grafis dan Fotografi",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Komunikasi Politik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Teori Komunikasi Massa, Kelompok, dan Organisasi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Ganjil","Media, Teknologi, dan Masyarakat",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Metode Penelitian Kualitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Produksi Konten Media Digital",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Komunikasi","Genap","Ekonomi dan Politik Media",3,4,"Wajib"
