universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Ilmu Dakwah",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Filsafat Dakwah",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Sejarah Dakwah",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Tafsir Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Ilmu Kalam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Logika Saintifik",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Sosiologi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Psikologi Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Studi Hukum Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Islam dan Budaya Lokal",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Pengantar Ilmu Komunikasi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Hadis Dakwah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Statistik Sosial",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Metode Penelitian Kuantitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Pengantar Jurnalistik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Islam dan Keadilan Gender",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Fikih Kontemporer",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Akhlak Tasawuf",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Teori Komunikasi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Dakwah Multikultural",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Ganjil","Retorika Dakwah",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Metode Penelitian Kualitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Komunikasi Dakwah",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Public Speaking",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Komunikasi Massa",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Pengembangan Kepribadian Da’i",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Desain Kreatif Program Radio",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Teknik Presentasi dan Negosiasi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Komunikasi Dan Penyiaran Islam","Genap","Jurnalistik Cetak",3,4,"Wajib"
