universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Peribadatan Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Pengantar Ilmu Hukum",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Studi Hukum Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Pengantar Hukum Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Perdata",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Akad Tijari",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Tafsir HES",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hadis HES",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Kewirausahaan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Ushul Fiqh",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Adat",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Ilmu Falak",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Akad Tabarru'",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Filsafat Hukum Ekonomi Syariah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Perbankan Syariah",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Pidana",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Pidana Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Ilmu Negara",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Studi Ekonomi Syariah",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Acara dan Simulasi Sidang Pengadilan Agama",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Acara Perdata",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Acara Pidana",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Dagang",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Kewarisan Islam",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Perikatan Jaminan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Perkawinan Islam",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Hukum Tata Negara",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Kaidah Fikih",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Kajian Teks Hukum Ekonomi Syariah",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Legal Opinion",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Hak Atas Kekayaan Intelektual",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Agraria",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Etika Bisnis",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Pasar Modal",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Pajak",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Perburuhan",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Hukum Kontrak Bisnis Syariah",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Legal Officer Perusahaan dan Perbankan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Metode Penelitian HES",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Praktik Peradilan Agama",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Kapita Selekta dan Kompilasi Hukum Ekonomi Syariah",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","LKS Non Bank",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Alternatif Penyelesaian Sengketa HES",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Manajemen Kepaniteraan PA",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Etika Profesi Hukum",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Aplikom",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Praktik Lembaga Keuangan  Syariah",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Publikasi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Ekonomi Syariah Muamalah","Genap","Skripsi",6,8,"Wajib"
