universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Ilmu Dakwah",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Ilmu Manajemen",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Filsafat Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Sejarah Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Tafsir Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Hadis Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Ilmu Ekonomi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Manajemen SDM",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Teori Organisasi dan Administrasi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Komunikasi Organisasi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Tafsir Manajemen",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Kepemimpinan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Manajemen Pemasaran",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Perilaku Organisasi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Etika dan Pengembangan Kepribadian",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Manajemen Risiko",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Kewirausahaan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Statistik Sosial",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Perencanaan Strategis SI/IT",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Hadis Manajemen",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Etika Bisnis Islam",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Manajemen Teknologi dan Inovasi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Manajemen Strategis",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Manajemen Aset",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Manajemen Merk",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Metode Penelitian Kuantitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Genap","Business Plan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Metode Penelitian Kualitatif",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Digital Marketing",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Manajemen Keuangan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Perilaku Konsumen",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Manajemen Konflik dan Perubahan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Manajemen Operasi dan Produksi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Dakwah","Ganjil","Manajemen Event Organizer",4,5,"Wajib"
