universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Pengantar Bisnis Manajemen",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Ekonomi Makro",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Bahasa Arab Bisnis",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Ekonomi Mikro",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Etika dan Hukum Bisnis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Pengantar Akuntansi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Matematika Bisnis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Bahasa Inggris Bisnis",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Komunikasi Bisnis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Keuangan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Metodologi Penelitian Kualitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen SDM",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Pemasaran",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Statistik Bisnis",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Sistem Informasi Manajemen",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Operasi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Manajemen Lembaga Non-Profit",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Manajemen Perubahan",4,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Manajemen Mutu",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Pemberdayaan Masyarakat",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Kewirausahaan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Manajemen Strategi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Manajemen Koperasi dan UMKM",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Metodologi Penelitian Kuantitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Studi Kelayakan Bisnis",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Bisnis Digital",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Event",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Merek",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Perilaku Konsumen",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Seminar Pemasaran",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Keuangan Pribadi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Seminar Keuangan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Investasi dan Pasar Modal",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Keuangan Internasional",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Perpajakan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Hubungan Industrial",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Kinerja SDM",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Seminar SDM",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Strategi SDM",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","MSDM Internasional",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Strategi Pemasaran",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Manajemen Pemasaran Internasional",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Magang Usaha dan Industri",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Praktik Analisis Laporan Keuangan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Praktik Aplikasi Komputer Bisnis",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Budaya dan Perilaku Organisasi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Praktik Pemecahan Masalah dan Pengambilan Keputusan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Kepemimpinan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Genap","Manajemen Resiko",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Publikasi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen","Ganjil","Skripsi",6,7,"Wajib"
