universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Konsep Dasar Matematika",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Dasar Pemrograman",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Kalkulus Differensial",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Fisika",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Pemrograman",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Kalkulus Integral",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Metode Statistika",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Aljabar Linear Elementer",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Aljabar Linier Elementer",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Ilmu Falak",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Biologi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Kalkulus Peubah Banyak",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Persamaan Differensial Biasa",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Statistika Matematika",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Aljabar Abstrak 1",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Matematika Diskrit",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Persamaan Differensial Partial",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Aljabar Linier",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Aljabar Abstrak 2",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Analisis Real",4,4,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Metode Numerik",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Matematika Falakiyah",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Matematika Keuangan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Integrasi Keilmuan Twin Tower",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Pemodelan Matematika",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Teknik Sampling",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Geometri Analitik",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Fungsi Kompleks",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Program Linier",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Technopreneurship",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Logika Fuzzy",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Manajemen Proyek (Project Management)",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Metodologi Penelitian",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Praktek Kerja Lapangan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Ekonometrika",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Kapita Selekta Pemodelan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Sistem dan Kontrol",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Optimasi Dinamis",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Statistika Non Parametrik",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Perancangan Eksperimen",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Pengendalian Kualitas Statistik",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Teori Graf",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Analisis Fourier",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Analisis Multivariat",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Pengolahan Citra Digital",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Data Mining",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Analisis Big Data",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Kecerdasan Buatan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Aljabar Linear Terapan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Pemodelan Mitigasi Bencana",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Matematika Aktuaria",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Riset Operasi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Publikasi Ilmiah",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Genap","Skripsi",6,8,"Wajib"
"UIN Sunan Ampel Surabaya","Matematika","Ganjil","Teori Bilangan",2,9,"Wajib"
