universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","al-Arabiyah li Dirasat al-Adyan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","English for Religious Studies",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Orientasi Filsafat",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Orientasi Studi Agama",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Sejarah Peradaban Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Sejarah Agama-agama",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Tafsir al-Adyan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Hadis al-Adyan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Etika Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Teologi Islam/Ilmu Kalam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Critical Thinking",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Pengantar Studi Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Psikologi Agama",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Filsafat Agama",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Antropologi Agama",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Fenomenologi Agama",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Sosiologi Agama",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Studi Agama Hindu",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Studi Agama Kristen",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Studi Agama Yahudi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Dialog Antar Agama",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Studi Agama Konghucu",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Trauma Healing",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Ideologi Gerakan Keagamaan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Metodologi Penelitian Agama",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Hermeuneutika dan Semiotika Agama",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Studi Agama Buddha",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Manajemen Lembaga Keagamaan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Literasi Digital",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Agama dan Budaya Nusantara",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Manajemen Konflik Keagamaan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Agama dan Ekologi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Agama dan Enterpreneurship",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Agama dan Pariwisata",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Digital Religion",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Televangelisme Agama",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Teori-teori Studi Agama",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Agama dan Isu-Isu Kontemporer",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Agama dan Etika Bisnis",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Pendidikan Islam Damai",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Agama dan Media",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Agama dan Gender",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Statistik",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Studi Kitab Suci Agama-Agama",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Agama dan Politik",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Agama-agama Dunia",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Perencanaan Riset dan Penelitian Keagamaan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","⁠Motode Pengembangan Riset Keagamaan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","⁠Teknik Pengumpulan Data Penelitian Keagamaan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","⁠Pengolahan dan Analisis Data Riset Keagamaan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","⁠Metode Pelaporan dan Publikasi Riset Keagamaan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Perencanaan dan Desain Pembelajaran",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Manajemen Kelas",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Pengembangan Keterampilan Berfikir Kritis",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Penggunaan Teknologi dalam Pengajaran",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Genap","Evaluasi Pembelajaran",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Publikasi Ilmiah",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Skripsi",6,7,"Wajib"
"UIN Sunan Ampel Surabaya","Studi Agama Agama","Ganjil","Seminar Proposal Skripsi",3,7,"Wajib"
