universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Pengantar Filsafat",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Pengantar Psikologi",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Aqidah Ilmu Kalam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Akhlak Tasawuf",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Ilmu Pendidikan Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Psikologi Agama",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Filsafat Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Fiqih Ibadah (Fiqh 1)",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Hadits Akhlak",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Sejarah Pendidikan Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Logika",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Materi PAI SMP",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Materi PAI MTs",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Tafsir",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Hadith Ahkam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Psikologi Perkembangan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Fiqh Muamalah Faroid (Fiqh 2)",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Model & Strategi Pemb. PAI",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Sejarah Peradaban Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Psikologi Belajar PAI",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Metodologi Penelitian Pendidikan PAI",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Pengembangan Kurikulum PAI",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Tafsir & Hadits Tarbawi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Fiqih Munakahat & Jinayah",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Metode & Media Pembelajaran PAI",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Materi PAI MA / SMA / SMK",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Profil Tenaga Pendidik",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Evaluasi Pembelajaran PAI",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","ICT Pembelajaran",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Perencanaan Pembelajaran PAI",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Pengelolaan Kelas",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Pengenalan Lapangan Persekolahan  1",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Microteaching",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Academic Writing",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Public Speaking",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Filsafat Pendidikan Islam",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Materi PAI SD / MI",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Statistik Pendidikan",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Penelitian Tindakan Kelas",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","BP di Madrasah/Sekolah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Penelusuran Literatur",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Manajemen Sekolah",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Pengembangan Program Sekolah",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Analisis Kurikulum",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Pengenalan Lapangan Persekolahan 2",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Pengembangan Rencana Pembelajaran",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Pengembangan Bahan Ajar",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Pengembangan Media Pembelajaran",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Asesmen Pembelajaran",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Desain & Penyusunan Modul PAI",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Isu-isu Kontemporer dalam PAI",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Gerakan & Ideologi Islam Global",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Ganjil","Publikasi Ilmiah Berbasis Prodi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Agama Islam","Genap","Skripsi",6,8,"Wajib"
