universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Ilmu Shorof an-Nadhory wa at-Tatbiqy",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Istima wa Kalam Lilmubtadiin",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Qiroah wa Kitabah Lilmubtadiin",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Ilmu Nahwu Annadhori wa Tathbiqi",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Istima wa Kalam Lilmutawasitin",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Qiroah wa kitabah lilmutawasitin",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Ilmu Pendidikan Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Istima Wa kalam lilmutaqodimin",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Qiraoh wa kitabah lilmutaqodimin",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Ilmu Lughoh an-Nadhory wa at-Tatbiqy",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Ta’lim lugho al-Arabiyah ala asas Teknologi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Ilmu Aswat",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Ilm Al- Nafs Al- Tarbawiy Wa Nadhoriyah Al-Ta’alum",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Filsafat Pendidikan Bahasa",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Pengembangan Kurikulum dan Perencanaan Pembelajaran",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Nadhoriyah Al-Ta’alumwa Mihnah Ta’limiyah",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Wasail Ta’limlugho al-Arabiyah",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Taroiq Ta’limlugho al-Arabiyah",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Mawad Ta’limlugho al-Arabiyah",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Al-Ihsha’ al-Tarbawy",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Taqwimwaikhtibar",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Idarah al-Shof",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Qiroahwakitabahlilbahtsu al ilmi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","IstimaWa kalam lilJami’ah",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","IlmuBalaghoh an-Nadhorywa at-Tatbiqy",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Pengenalan Lapangan Persekolahan  1",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Ta’lim Mushaghar",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Tarjamah Al Tahririyah Wa Al Syafawiyah al-Indonesiah-al-Arabiyah**",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Ilmu Al-Lughoh al-  nafsi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Ilmu Al-Lughoh Al-Ijtima’y",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Al-Idaroh wal Isyrof al-Tarbawy",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","IlmuDilalahwa al-Ma’ajim",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Manhaj al-Bahts al-Ilmy",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Thuruq al-Tarjamah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Tarjamah Al Tahririyah Wa Al Syafawiyah al-Arabiyah al-Indonesiah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Tarjamah Al-Akhbar",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Al-Ulum al-Siyahiyah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Al-Ittishal Al-Jamahiry",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Al-Arabiyah li al-Siyahiyyah",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Ganjil","Al-Arabiyah li hajj walumroh",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Manajemen Sekolah",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Pengembangan Program Sekolah",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Analisis Kurikulum",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Pengenalan Lapangan Persekolahan 2",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Pengembangan Rencana Pembelajaran Bahasa Arab",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Arab","Genap","Pengembangan Bahan Ajar Bahasa Arab",3,6,"Wajib"
