universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Ilmu Pendidikan Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","General English",8,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Digital Literacy",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Spoken English",8,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Educational Psychology",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Business English",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Written English",8,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Linguistics in ELT",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Research Method in ELT",6,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Grammatical Analysis",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Filsafat Pendidikan Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Technology-Assissted Language Instruction (TALI)",4,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Method in ELT",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","English Language Teaching Curriculum",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Instructional Materials and Media Development",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Language Testing, Evaluation, and Assessment",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Literature in ELT",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Qualitative and Quantitative Research in ELT",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","English for Islamic Studies",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Pengenalan Lapangan Persekolahan  1",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Microteaching",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Intercultural Communication and Cultural Awareness (ICCA)",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Innovation, Creativity, and Edupreneurship",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Collaborative Classroom Action Research (CCAR)",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Research Proposal Seminar",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Lesson Planning and Classroom Management",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Teaching English for Young Learners",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Research on Applied Linguistics",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Entrepreneurship in English Language Teaching",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","English Teaching Media for Young Learners",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Research on Applied Literature",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Edupreneurship in Language Instruction",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Manajemen Sekolah",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Pengembangan Program Sekolah",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Analisis Kurikulum",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Pengenalan Lapangan Persekolahan 2",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Pengembangan Rencana Pembelajaran",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Pengembangan Bahan Ajar",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Pengembangan Media Pembelajaran",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","Asesmen Pembelajaran",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Publikasi Ilmiah Berbasis  Prodi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Final Project",6,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Second Language Acquisition",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Community Based Research",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Ganjil","Leadership and Management in English Edupreneurship",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Bahasa Inggris","Genap","UCE KKN Tematik",4,8,"Wajib"
