universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Ilmu Pendidikan Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Psikologi Perkembangan Anak",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Bahasa Indonesia di MI/SD",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","IPA di MI/SD",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Matematika di MI/SD",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Pramuka",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","IPS MI/SD",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Kepemimpinan Pendidikan di SD/MI (Pilihan 1)",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Administrasi Sekolah Inklusi (Pilihan 2)",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Seni Budaya dan Kerajinan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","English For Elementary School",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Pendidikan Inklusi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Teknologi Informasi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Manajemen MI/SD",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Media pembelajaran",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Pengembangan kurikulum",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Strategi Pembelajaran",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Aqidah Akhlaq di MI",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Sejarah Kebudayaan Islam di MI",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Evaluasi Pembelajaran",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Pembelajaran Bahasa Arab di MI",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Pembelajaran Tematik",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Pembelajaran Bahasa Indonesia",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Perencanaan Pembelajaran",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Pembelajaran Penjaskes",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Pembelajaran Matematika",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","Pembelajaran IPA",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Genap","PKN di MI/SD",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Pengenalan Lapangan Persekolahan  1",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Microteaching",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Statistik Penelitian Pendidikan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Metodologi Penelitian Pendidikan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Bimbingan Konseling",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Al-Qur'an- Hadis  di MI",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Fiqih  di MI",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Guru Madrasah Ibtidaiyah","Ganjil","Konsep dan Pembelajaran Bahasa Jawa",2,5,"Wajib"
