universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Dasar Dasar Pendidikan AUD",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Ilmu Pendidikan Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Perkembangan Bahasa AUD",4,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Genap","PAI untuk AUD",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Genap","Perkembangan Kognitif AUD",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Genap","Perkembangan Motorik dan Fisik AUD",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Genap","Perkembangan Seni AUD",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Genap","Seni Lukis AUD",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Perkembangan Moral dan Agama AUD",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Kurikulum dan  Pembelajaran",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Administrasi dan Manajemen",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Perkembangan Sosial Emosional AUD",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Ganjil","Bermain dan Permainan Anak",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Islam Anak Usia Dini","Genap","Profesionalisme dan Kepemimpinan",4,4,"Wajib"
