universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Al Arabiyya Lil Ulum al-Siyasiyyah al Islamiyah",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","English for Islamic Political Science",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Filsafat Ilmu",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Pengantar Ilmu Politik",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Sosiologi politik",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Critical Thinking",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Pemikiran Politik Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Sistem Politik Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Teori Politik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Academic Writing",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Pengantar Studi Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Etika Politik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Islam dan Ideologi Dunia",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Metodologi Ilmu Politik",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Pemikiran Politik Intelektual Muslim Modern",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Politik Era Nabi sampai Era Dinasti",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Politik Islam Indonesia",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Politik Islam Kawasan Asia Tenggara, Tengah dan Selatan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Tafsir dan Hadits Siyasi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Orientasi Filsafat",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Politik Islam Global",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Kajian Teks Politik Islam Nusantara",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Birokrasi Politik",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Partai Politik, Pemilu dan Parlemen",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Qowaid Fiqh Siyasi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Legal Drafting",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Pemikiran Politik Intelektual Muslim Kontemporer",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Metode Penelitian Kuantitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Genap","Kebijakan Publik",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Politik Islam Kawasan Timur Tengah dan Afrika Utara",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Diplomasi di Dunia Islam (perbandingan politik islam)",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Gerakan Politik Islam",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Metode penelitian Kualitatif",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Political Enterpreneurship",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Politik dan perempuan dunia Islam",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pemikiran Politik Islam","Ganjil","Politik Islam Kawasan Minoritas",2,5,"Wajib"
