universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","IPA Dasar",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Kimia Dasar",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Fisika Dasar",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Biologi Dasar",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Ilmu Pendidikan Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Pembelajaran IPA Inovatif",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Pengelolaan dan Teknik Lab. IPA",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Matematika IPA",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Biologi Sel",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Filsafat IPA",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Keanekaragaman Makhluk Hidup",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Psikologi Pendidikan IPA",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Evaluasi Pembelajaran IPA",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Biokimia",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Islam, Sains, Teknologi dan Masyarakat",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Konservasi dan Kearifan Lokal",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Ilmu Pengetahuan Bumi dan Antariksa",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Genetika",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Pengembangan Perangkat Pembelajaran IPA",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Bioteknologi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Struktur Pada Hewan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Sistem Pada Hewan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Statistika Pendidikan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Zat Adiktif dan Aditif",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Ekologi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Listrik Magnet",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Pengenalan Lapangan Persekolahan  1",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Microteaching",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Edupreneur",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Pengembangan Media Digital Pembelajaran IPA",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Biofisika",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Kajian Kurikulum IPA Sekolah (KKIS)",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Gelombang dan Optik",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Metodologi Penelitian Pendidikan IPA",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Anatomi Fisiologi Tumbuhan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Teaching Science in English",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Agrikultura",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","Etnosains",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Manajemen Sekolah",2,6,"Wajib"
