universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Filsafat Ilmu",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Pengantar Ilmu Hukum",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Hukum Peribadatan Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Pengantar Hukum Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Studi Hukum Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Ushul Fiqh",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Filsafat Hukum Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Pengantar Perbandingan Mazhab",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Hadis Hukum Perbandingan Mazhab",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Tafsir Ayat Ahkam Perbandingan Mazhab",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Islam di Indonesia",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Tata Negara",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Tata Negara Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Kaidah Fiqhiyah",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Studi Naskah Inggris Hukum Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Metode Istinbath",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Fiqh Muamalah",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Zakat dan Wakaf",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Kewarisan Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Hukum Perdata",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Hukum Pidana",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Ilmu Falak",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Hukum Islam Kontemporer",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Hukum Perkawinan Islam",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Legal Opinion dan Drafting",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Metodologi Penelitian Hukum",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Studi Naskah Arab Hukum Islam",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Acara Perdata",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Alternatif Penyelesaian Sengketa",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Acara Peradilan Agama",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Pidana Islam",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Adat",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Internasional",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Teori Perbandingan Hukum",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Hukum Acara Pidana",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Praktik Peradilan Agama",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Etika Profesi Hukum",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Hukum Administrasi Negara",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Hukum Lingkungan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Simulasi Fatwa dan Persidangan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Sosiologi Hukum",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Studi dan Lembaga Fatwa di Indonesia",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Praktik Lembaga Fatwa",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Ganjil","Publikasi Berbasis Program Studi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Perbandingan Madzhab","Genap","Skripsi",6,8,"Wajib"
