universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Ilmu Dakwah",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Sejarah Dakwah",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Ahlak Sosial",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Filsafat Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Tafsir Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Hadis Dakwah",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Statistik Sosial",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Sosiologi Kawasan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Teori Pengembangan Masyarakat Islam",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Budaya Lokal",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Psikologi Komunitas",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Metode Penelitian Kuantitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Tafsir Dakwah Pemberdayaan Masyarakat",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Kefasilitatoran",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Mitigasi dan Risiko Bencana",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Teori Sosial",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Resolusi Konflik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Perencanaan Usaha Komunitas",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Manajemen Kemitraan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Pendidikan Populer dan Sekolah Alternatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Manajemen Konservasi Lingkungan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Ganjil","Kesehatan masyarakat dan permukiman",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Metode Penelitian Kualitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Hadis Dakwah Pemberdayaan Masyarakat",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Analisis Kebijakan Publik",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Teori Sosial Kritis",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pengembangan Masyarakat Islam","Genap","Manajemen Pelatihan Partisipatif",2,4,"Wajib"
