universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Sains",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Kalkulus Diferensial",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Pengantar Dasar Matematika",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Filsafat Pendidikan Matematika",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Telaah Kurikulum Matematika",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Geometri",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Kalkulus integral",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Psikologi dan Strategi Pemb. Matematika",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Ilmu Pendidikan Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Statistik Matematika 1",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Teori Bilangan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Geometri Analitik",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Kalkulus Peubah Banyak",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Profesi Pendidikan Matematika",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Evaluasi  Pembelajaran Matematika",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Al Arobiyat lil Riyadiyat",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Ganjil","Aplikasi Komputer",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Metode Numerik",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Kewirausahaan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Fungsi Kompleks",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Pembelajaran Mat SMP",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Metode Penelitian Pend. Mat",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Statistik Terapan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Aljabar Abstrak",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Persamaan Diferensial",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Pendidikan Matematika","Genap","Review Jurnal",3,4,"Wajib"
