universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikologi Umum",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Sejarah dan Aliran Perspektif Psikologi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Psikologi Perkembangan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Psikologi Sosial",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Psikologi Kepribadian",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Statistik Dasar",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Kesehatan Mental",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Psikologi Faal",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Aqidah Akhlak",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Studi Hukum Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikologi Industri dan Organisasi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikologi Kognitif",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikologi Klinis",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Dasar-dasar konseling",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Pengantar Psikodiagnostik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikologi Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Biopsikologi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikometri",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Wawancara dan observasi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikologi Pendidikan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Kode etik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Pemberdayaan Psikologis I",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Penyusunan Alat Ukur Psikologi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Psikodiagnostik I",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Metodologi Penelitian Kuantitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Psikologi Abnormal",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Psikologi Komunitas",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Psikologi Komunikasi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Modifikasi Perilaku",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Genap","Pengembangan diri dan Keterampilan Komunikasi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Pemberdayaan Psikologis 2",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikodiagnostik II",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Metodologi Penelitian Kualitatif",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Psikologi Eksperimen",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Psikologi","Ganjil","Intervensi psikologi: Individu dan Komunitas",3,5,"Wajib"
