universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","English Intensive Course",10,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Introduction to English Linguistics",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Introduction to English Literature",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Pronunciation",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","History of English Language and Literature",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","English Phonetics and Phonology",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Intermediate Reading",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Intermediate Listening",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","English Morpho-Syntax",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Intermediate Structure",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Speaking for Formal Interaction",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Essay Writing",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Pengantar Studi Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Upper-intermediate Structure",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Upper-intermediate Listening",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Upper-intermediate Reading",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Argumentative Writing",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Psycholinguistics",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Modern Literature",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Romantic Literature",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Academic Debate and Presentation",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","English Semantics and Pragmatics",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Studi Al-Qur'an",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Sociolinguistics",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Popular Literature",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Theory of Literature",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Introduction to Research Methods",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Business Writing",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Translation and Interpreting",4,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Digital Literature",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Bahasa Indonesia",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Genap","Studi Al-Hadis",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Discourse Analysis",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Academic English Proficiency",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Creative Writing",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Indonesian into English Translation",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","English into Indonesian Translation",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Muslim English Literature",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Research Methods in Linguistics",5,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Inggris","Ganjil","Research Methods in Literature",5,5,"Wajib"
