universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Kajian Kesusastraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Linguistik Umum",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Kebudayaan Islam Nusantara",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Teori Sastra",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Sejarah Kesusastraan Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Sastra Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Fonologi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Morfologi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Sastra Indonesia Kontemporer",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Kemahiran Berbahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Kajian Prosa",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Retorika",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Sintaksis",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Apresiasi Puisi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Kritik Sastra",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Sosiologi Sastra",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Sosiolinguistik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Semantik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Filologi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Sastra Anak",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Pragmatik",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Stilistika",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Semiotik",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Kewirausahaan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Digital Humanities",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Leksikografi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Kajian Drama",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Linguistik Historis Komparatif",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Proses Kreatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Folklore",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Sastra Bandingan",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Psikolinguistik",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Etnolinguistik",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Psikologi Sastra",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Antropologi Sastra",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Analisis Wacana",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Pementasan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Jurnalistik",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Metodologi Penelitian Sastra",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Ganjil","Metodologi Penelitian Bahasa",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sastra Indonesia","Genap","Korespondensi",2,6,"Wajib"
