universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Pemrograman Dasar",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Manajemen dan Organisasi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Matematika Diskrit",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Konsep Sistem Informasi",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Integrasi Keilmuan Twin Tower",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Basis Data",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Aljabar Linear",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Statistika",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Algoritma dan Struktur Data",4,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Pemrograman Berorientasi Obyek",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Basis Data Lanjut",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Manajemen Sains",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Rekayasa Perangkat Lunak",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Arsitektur dan Organisasi Komputer",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","UI/UX Design",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Technopreneurship",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Manajemen Proses Bisnis",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Mobile and Web Programming",4,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Artificial Intelligent",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Visualisasi Data",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","e-Business",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Tata Kelola dan Audit TI",4,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Keamanan Informasi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Software Quality Assurance",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Enterprise Architect",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Metodologi Penelitian",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Manajemen Resiko",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Big Data Analytics",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Ganjil","Manajemen Layanan TI",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Manajemen Proyek (Project Management)",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Etika Profesional",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Manajemen Proyek",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Knowledge Management",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","System Analysis and Design",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Sociopreneurship",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Teknologi Virtual Reality",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Digital Creative",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","E Government",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Socio Informatics",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Deep Learning",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Sistem Temu Kembali Informasi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Digital Forensik",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Business Intelligence",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sistem Informasi","Genap","Komunikasi Interpersonal",2,6,"Wajib"
