universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Peribadatan Islam",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Pengantar Ilmu Hukum",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Pengantar Hukum Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Filsafat Ilmu",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Studi Hukum Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum Perkawinan Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum Pidana",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum Pidana Islam",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Ushul Fiqh",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum Zakat dan Wakaf",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Pancasila",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Studi Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Perdata",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Adat",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Ilmu Falak",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hadis Hukum Pidana",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Pertanahan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Tata Negara Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Ilmu Negara",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Kaidah Fiqiyah",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Tafsir Ayat Hukum Pidana Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Delik Delik dalam KUHP",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Filsafat Hukum Pidana Islam",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum Lingkungan",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum Pidana Khusus",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum Tata Negara",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Kriminologi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Metode Penelitian Hukum",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Sosiologi Hukum",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Viktimologi dan Penologi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Acara Pidana",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Acara Perdata",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Acara Tata Usaha Negara",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Kompilasi HES",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Acara Peradilan Agama",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Administrasi Negara",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Pidana di Negara-negara Muslim",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Etika Profesi Hukum",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Humaniter",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Hukum Kewarisan Islam",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Praktik Peradilan Agama",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Legal Opinion",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Simulasi Persidangan",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum Internasional",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Metodologi Intepretasi Hukum Islam",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Alternatif Penyelesaian Sengketa",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Legal Drafting",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Hukum dan Hak Asasi Manusia",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Penemuan Hukum",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Legal Praktik",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Publikasi Berbasis Program Studi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Hukum Pidana Islam Jinayah","Genap","Skripsi",6,8,"Wajib"
