universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Antropologi",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Sejarah Peradaban Islam Klasik",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Genap","Pengantar  Ilmu Sejarah Peradaban Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Genap","Sejarah dalam Al - Quran dan Al - Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Genap","Sejarah Peradaban Dunia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Genap","Sejarah Peradaban Islam Pertengahan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Genap","Studi Teks Arab",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Genap","Studi Teks Inggris",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Genap","Filsafat Sejarah",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Sejarah Kelembagaan Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Bahasa Belanda",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Orientalisme dan Oksidentalisme",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Sejarah Pesantren",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Arkeologi Islam",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sejarah Peradaban Islam","Ganjil","Sejarah Islam Nusantara",2,3,"Wajib"
