universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Antropologi",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Pengantar Sosiologi",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Al-Arabiyah li al-Ulum al-Ijtimaiyah",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Filsafat Sosial",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Psikologi Sosial",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Statistik Sosial",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Tafsir dan Hadis Tematik Sosial",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Teori Sosiologi Klasik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","English For Sociology",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sistem Hukum Indonesia",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Studi Al-Hadis",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Metode Penelitian Kualitatif",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Keluarga",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Kependudukan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Ekonomi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sistem Sosial Budaya Indonesia",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Pengantar Ilmu Politik",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Agama",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Teori Sosiologi Modern",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Metode Penelitian Kuantitatif",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sosiologi Hukum",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sosiologi Kesehatan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sosiologi Desa dan Kota",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sosiologi Konflik dan Rekonsiliasi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sosiologi Pendidikan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sosiologi Organisasi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sosiologi Politik",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Perubahan Sosial",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Budaya",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Gender",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Pembangunan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Islam",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Sosiologi Lingkungan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Teori Sosiologi Kritis dan Postmodern",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Masyarakat Informasi di Era Digital",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Gerakan Sosial",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Academic Writing",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Inovasi dan Kewirausahaan Sosial",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Advokasi Sosial",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Analisis Sosial",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Sosiologi Industri",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Genap","Communication Skill",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Kuliah Kerja Nyata (KKN)",4,7,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Skripsi",6,7,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Publikasi Ilmiah Berbasis Prodi",3,7,"Wajib"
"UIN Sunan Ampel Surabaya","Sosiologi","Ganjil","Magang",4,7,"Wajib"
