universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Akhlaq Tasawuf",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Al Arabiyah li Ulum al Qur`an: Qira'at al-Kutub",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","English for Ulum al Qur`an: Reading",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Ilmu Tajwid",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Sejarah Peradaban Islam: Periode Klasik",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Orientasi Filsafat",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Studi Naskah Al-Qur'an",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Tahfid dan Tahsin Al-Qur'an",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Tauhid dan Pemikiran Kalam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Ulum al Hadis",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Ulum al Qur`an (1)",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Ushul Fiqh",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Bahasa Indonesia",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Pancasila",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Metodologi Tafsir",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Ilmu Mantiq",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Ulum al Qur`an (2)",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Maqasid al-Shari'ah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Sirah Nabawiyah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Tafsir Al-Qur'an dan Hadis-hadis Musykil",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Tafsir Tahlily",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Ushul Fiqh (2)",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Studi Qiraat al Qur`an",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Pemikiran Modern dalam Islam",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Filsafat Ilmu",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Qur'anicpreneur",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Studi al-Qur`an dan Tafsir kontemporer",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Qowaid al Tafsir",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Metode Penelitian",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Dirasah Kutub al-Tafsir",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Filologi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Al-Qur'an dan Sosial Budaya",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Maqasid al-Qur'an: Teori dan Metodologi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Ilmu Komunikasi",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Pembelajaran al-Qur`an: Metode dan Strategi",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Balaghah (Stilistika al Qur`an)",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Academic Writing",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Al Dakhil fi al Tafsir",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Hermeneutika dan Falsafah Takwil",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Kajian Barat atas al Qur`an",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Metode Penelitian al Qur`an dan Tafsir",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Studi Tafsir Ahkam",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Studi Tafsir Aqa'idi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Studi Tafsir Nusantara",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Studi Tafsir Sufi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Tafsir Maqashidi",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Ganjil","Tafsir Tematik Sosial Kemasyarakatan",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Ma'ani al-Qur'an",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Tarjamah al-Qur'an",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Al-Qur'an dan Media sosial",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Praktikum Penelitian Tafsir",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Tafsir Al-Adyan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Qur'anic Healing",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Desain Penelitian Kajian Al-Qur'an",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Seminar Hasil Penelitian Kajian Al-Qur'an",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Penulisan dan Pengolahan Data Penelitian Kajian Al-Qur'an",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Pengembangan Metodologi Penelitian Kajian Al-Qur'an",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Pemetaan Kajian al-Qur'an",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Seminar Hasil Magang",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Proyek Inovasi dan Etika Profesi",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Perencanaan Magang",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Magang/Praktik Kerja",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Komunikasi Sosial dan Kepemimpinan",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Praktik Asistensi Mengajar",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Pedagogi Al-Qur'an",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Seminar Hasil Asistensi Mengajar",4,6,"Wajib"
"UIN Sunan Ampel Surabaya","Ilmu Al Quran Dan Tafsir","Genap","Komunikasi Pendidikan",4,6,"Wajib"
