universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Fisika Dasar I",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Matematika Dasar",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Kimia Dasar",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Praktikum Kimia Dasar",1,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Mikrobiologi Lingkungan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Praktikum Mikrobiologi Lingkungan",1,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Kewarganegaraan",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Ekologi Lingkungan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Statistik Teknik Lingkungan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Matematika Lanjut",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Fisika Dasar II",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Kimia Lingkungan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Praktikum Kimia Lingkungan",1,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Metode Numerik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Ilmu Ukur Tanah dan Perpetaan",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Rekayasa Struktur Bangunan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Mekanika Fluida",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Mekanika Tanah dan Geohidrologi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Metode Analisis Pencemar Lingkungan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Praktikum Analisis Pencemar Lingkungan",1,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Gambar Teknik",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Proses Fisika Kimia",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Proses Biologi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Bahasa Indonesia",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Proses Pengolahan Air",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Kimia Analis",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Praktikum Kimia Instrumen",1,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Sistem Penyediaan Air Minum",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Sistem Penyaluran Air Limbah",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Pencemaran Udara",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Praktikum Pencemaran Udara",1,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Plambing",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Genap","Pengelolaan Sumber Daya Air",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Pengelolaan Sampah dan B3",4,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Lingkungan","Ganjil","Enviropreneur",2,5,"Wajib"
