universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Kalkulus",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Fisika Dasar",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Kimia Dasar",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Gambar Bangunan",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Fisika Teknik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Matematika Rekayasa",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Metode Numerik",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Geomatika",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Ilmu Kebumian",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Dasar-Dasar Transportasi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Ilmu Lingkungan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Statistika dan Probabilitas",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Statika",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Mekanika Bahan",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Mekanika Fluida dan Hidrolika",4,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Struktur Baja",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Hidrologi",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Analisis Properti Tanah",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Rekayasa Lalu Lintas",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Kewarganegaraan",2,3,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Integrasi Keilmuan Twin Tower",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Analisis Struktur Statis Tak Tentu",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Struktur Beton",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Teknologi Bahan Bangunan",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Sistem Drainase",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Perancangan Geometri Jalan Raya",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Teknik Penyelidikan Tanah",3,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Desain Pondasi Dangkal",2,4,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Analisis Struktur Formulasi Matriks",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Perancangan Struktur Beton",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Perancangan Struktur Baja",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Rekayasa Irigasi",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Desain Pondasi Dalam",2,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Aplikasi Komputer Teknik Sipil",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Perkerasan Jalan",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Ganjil","Studi Al-Hadis",3,5,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Perencanaan Perumahan Permukiman bagi MBR",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Ekonomi Teknik",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Metode Konstruksi",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Kewirausahaan Profesi",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Manajemen Proyek",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Kerja Praktek",2,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Rekayasa Gempa",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Material Maju",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Monitoring dan Evaluasi Bangunan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Rekayasa Perkuatan dan Perbaikan Struktur",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Bangunan Gedung Tingkat Tinggi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Stabilitas Lereng",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Penyelidikan Lokasi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Metode Perbaikan Tanah",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Perencanaan dan Pengendalian Proyek Konstruksi",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Estimasi Kuantitas Arsitektur dan Struktur dengan BIM",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Keselamatan Transportasi dan Lingkungan",3,6,"Wajib"
"UIN Sunan Ampel Surabaya","Teknik Sipil","Genap","Sistem Transportasi Perkotaan",3,6,"Wajib"
