universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Fiqh Wakaf",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Fiqh Zakat",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Bahasa Indonesia",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Pancasila",2,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Pengantar Studi Islam",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Studi Al-Qur'an",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Studi Al-Hadis",3,1,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Qawa’id Fiqhiyah",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Pengantar Akuntansi",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Pengantar Manajemen",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Matematika Ekonomi",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Ushul Al Iqtishad",3,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Ayat dan Hadits Zakat Wakaf",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Teori Ekonomi Mikro Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Teori Ekonomi Makro Islam",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Genap","Kewarganegaraan",2,2,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Akuntansi Zakat dan Wakaf",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Bahasa Arab Zakat dan Wakaf",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Bahasa Inggris Zakat dan Wakaf",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Fiqh Iqtishodi",3,3,"Wajib"
"UIN Sunan Ampel Surabaya","Manajemen Zakat Dan Wakaf","Ganjil","Manajemen Pemasaran",3,3,"Wajib"
