universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Budha",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Hindu",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Islam",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Katolik",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Kong Hu Chu",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Kong Hu Chu I",0,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Kristen Protestan",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Anatomi Muskuloskeletal",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Bahasa Inggris",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Bahasa Inggris I",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Dasar Kedokteran Fisik & Rehabilitasi",1,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Etika Profesi Fisioterapi & Hukum Kesehatan",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Fisika Dasar Fisioterapi",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Fisiologi Dasar",1,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Fisiologi Dasar (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Kewarganegaraan",2,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Komunikasi Fisioterapi",1,1,"Wajib"
"Universitas Airlangga","D4 Fisioterapi","Ganjil","Komunikasi Fisioterapi (Praktikum)",1,1,"Wajib"
