universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Agama Kong Hu Chu I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Anatomi - Histologi",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Anatomi - Histologi (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Anatomi dan Histologi",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Anatomi dan Histologi (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Biofisika",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Biofisika (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Botani",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Botani (Praktikum)",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Filsafat Ilmu",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Ilmu Faal",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Ilmu Faal (Praktikum)",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Kewarganegaraan",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Pancasila",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupunktur Dasar",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupunktur Meridian dan Titik",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupunktur Meridian dan Titik (Praktikum)",3,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Bahasa Inggris",1,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Bahasa Inggris",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Biokimia",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Budidaya Tanaman Obat",1,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Budidaya Tanaman Obat (Praktikum)",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Ilmu Gizi Dasar",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Patobiologi",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Pijat Dasar",1,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Pijat Dasar",1,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Pijat Dasar (Praktikum)",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Akupunktur Dasar Terapi",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Akupunktur Dasar Terapi (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Akupunktur Moksibusi",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Akupunktur Moksibusi (Praktikum)",3,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Farmakognosi",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Farmakognosi (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Farmakologi",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Farmakologi (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Gizi Komplementer",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Gizi Komplementer (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Ide Kreatif dan Kewirausahaan",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Terapi Pijat Tradisional",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Terapi Pijat Tradisional (Praktikum)",3,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupuntur Diferensiasi Sindrom",5,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupuntur Diferensiasi Sindrom",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupuntur Diferensiasi Sindrom (Praktikum)",3,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Auriculo-puncture",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Auriculo-puncture (Praktikum)",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Bahasa Mandarin",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Bahasa Mandarin (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Scalp-Puncture",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Scalp-Puncture (Praktikum)",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Herbal 1: Jamu",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Herbal 1: Jamu (Praktikum)",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Nutrisi",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Nutrisi",4,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Nutrisi (Praktikum)",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Pijat Asing",4,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Pijat Asing",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Pijat Asing (Praktikum)",3,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Akupunktur Terapan I (Praktikum)",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Auriculo puncture",3,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Bioetik dan hukum profesi",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Formulasi Obat Tradisional",4,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Formulasi Obat Tradisional",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Formulasi Obat Tradisional (Praktikum)",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Herbal Terapan",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Herbal Terapan (Praktikum)",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Kegawatdaruratan dan K3",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Nutrisi Terapan",3,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Nutrisi Terapan",1,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Nutrisi Terapan (Praktikum)",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Pijat Terapan",4,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Pijat Terapan",1,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Pijat Terapan (Praktikum)",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Scalp-puncture",3,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Terapi Herbal 1 : Jamu",4,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Terapi Herbal 2: Asing",1,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Terapi Herbal 2: Asing (Praktikum)",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Agama Budha II",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Agama Hindu II",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Agama Islam II",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Agama Katolik II",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Agama Kong Hu Chu II",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Agama Kristen Protestan II",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupunktur Terapan",6,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupunktur Terapan II (Praktikum)",3,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Akupunktur Terapan III (Praktikum)",3,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Anthropologi Kesehatan",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Asuhan Battra",1,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Asuhan Battra (Praktikum)",1,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Bahasa Inggris Profesi",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","KKN",4,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Manajemen Kesehatan",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","P B L",1,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","P B L (Praktikum)",1,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Akupunktur",4,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Genap","Terapi Herbal 2 : Asing",4,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Herbal terapan (Saintifikasi Jamu & Fitofarmaka)",6,7,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Kegawatdaruratan",2,7,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Manajemen Industri Obat Tradisional",2,7,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Metodologi penelitian",2,7,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Metodologi Penelitian",2,7,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Praktek Kerja Lapangan",6,7,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Proposal Skripsi",2,7,"Wajib"
"Universitas Airlangga","D4 Teknologi Pengobatan Tradisional","Ganjil","Skripsi",6,7,"Wajib"
