universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Agama Islam I",0,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Bahasa Indonesia",0,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Data dan Pustaka",0,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Kewarganegaraan",0,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Logika & Pemrograman Dasar",2,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Logika & Pemrograman Dasar (Praktikum)",2,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Matematika Dasar",0,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Matematika Diskrit",2,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pancasila",0,1,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Aljabar Linier",2,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Analisa dan Desain Sistem Informasi",1,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Analisa dan Desain Sistem Informasi (Praktium)",2,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Basis Data Relasional",2,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Basis Data Relasional (Praktikum)",3,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Komunikasi dan Pengembangan Diri",0,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Logika dan Pemikiran Kritis",0,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Pengantar Kolaborasi Keilmuan",0,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Pengembangan Perangkat lunak Web (Framework)",2,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Pengembangan Perangkat lunak Web (Framework) (Praktikum)",2,2,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Arsitektur Microservice",2,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Desain UI/UX",2,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Desain UI/UX (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pemrograman Basis Data",2,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pemrograman Basis Data (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pengantar Sistem Operasi",2,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pengantar Sistem Operasi (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Rekayasa Kebutuhan Perangkat Lunak",2,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Rekayasa Kebutuhan Perangkat Lunak (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Workshop Pengembangan Perangkat Lunak Web (Framework)",3,3,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Aplikasi Mobile",2,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Aplikasi Mobile (Praktikum)",2,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Jaringan Komputer",2,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Jaringan Komputer (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Kecerdasan Buatan",2,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Kecerdasan Buatan (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Manajemen Proyek Perangkat Lunak",2,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Manajemen Proyek Perangkat Lunak (Praktikum)",2,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Pengujian Perangkat Lunak",2,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Pengujian Perangkat Lunak (Praktikum)",2,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Workshop Desain UI",3,4,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Agama II",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Agama Islam II",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Agama Kristen Protestan II",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Bahasa Inggris Profesi",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Jaminan Kualitas Perangkat Lunak (Quality Assurance)",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Keamanan Cyber",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Keamanan Cyber (Praktikum)",1,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Kesehatan dan Keselamatan Kerja",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pembelajaran Mesin",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pembelajaran Mesin (Praktikum)",1,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pemrograman Backend Lanjut",1,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Pemrograman Backend Lanjut (Praktikum)",2,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Proyek 1 (Analisa dan Desain PL)",3,5,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Cloud Computing",2,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Cloud Computing (Praktikum)",1,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Data mining",2,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Data mining (Praktikum)",1,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Design Thinking",2,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Etika Bidang IT",2,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","KKN",3,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Metodologi Penelitian Terapan",2,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Perencanaan Sumberdaya Perusahaan",2,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Perencanaan Sumberdaya Perusahaan (Praktikum)",1,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Proyek 2 (Implementasi PL)",3,6,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","PKL",8,7,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Ganjil","Proposal Skripsi",2,7,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Magang",15,8,"Wajib"
"Universitas Airlangga","D4 Teknik Informatika","Genap","Skripsi",4,8,"Wajib"
