universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Anatomi",3,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Anatomi I",3,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Anatomi Imejing",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Anatomi Imejing (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Anatomi Imejing I",3,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Anatomi Radiologi",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Anatomi Radiologi (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Bahasa Inggris",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Bahasa Inggris",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Fisika Radiologi",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Matematika Radiologi",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Pancasila",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Pancasila",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiofotografi",3,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiofotografi",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiofotografi (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi I",4,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi I (Praktikum)",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Bahasa Indonesia",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Fisika Radiasi",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Fisika Radiasi (Praktikum)",3,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Fisiologi Radiologi",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Fisiologi Radiologi (Praktikum)",1,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Instrumentasi Imejing Dasar",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Instrumentasi Imejing Dasar (Praktikum)",1,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Kewarganegaraan",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Komputer Radiologi",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Komputer Radiologi (Praktikum)",1,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Patologi Radiologi",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Radiobiologi",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Radiografi II",1,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Radiografi II (Praktikum)",3,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Filsafat Ilmu",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Fisika Imejing",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Fisika Imejing (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Instrumentasi Imejing Lanjut",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Instrumentasi Imejing Lanjut",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Instrumentasi Imejing lanjut (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Keperawatan Radiologi",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Keperawatan Radiologi (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Komputer I",3,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Proteksi Radiasi",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Proteksi Radiasi (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi III",4,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi III",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi III (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi Kegawatdaruratan",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi Kegawatdaruratan (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi Kegawatdaruratan I",3,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Sistim Informasi Dan Manajemen",3,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Sistim Informasi Dan Manajemen",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Sistim Informasi Manajemen (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Ct Scan Dasar",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","CT Scan Dasar (P)",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Dasar Kesehatan Masyarakat",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Ide kreatif dan Kewirausahaan",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Kedokteran Nuklir Dasar",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Kedokteran Nuklir Dasar (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Kewarganegaraan",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Mri Dasar",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","MRI Dasar (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Radiografi Intervensi Dasar",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Radiografi Intervensi Dasar (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Radiografi Lanjut I",4,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Bioetik Dan Humaniora",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Filsafat Ilmu",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Kendali Mutu",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Kendali Mutu (Praktikum)",1,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Komunikasi dan Penampilan",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Komunikasi Dan Penampilan",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Matematika",2,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi Lanjut II",5,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Ganjil","Radiografi Lanjut II",5,5,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Agama Islam II",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Agama Kristen Protestan II",2,6,"Wajib"
"Universitas Airlangga","D4 Teknologi Pencitraan Radiologi","Genap","Aplikasi Kedokteran Nuklir",2,6,"Wajib"
