universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Agama Kong Hu Chu I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Data dan Pustaka",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Elektronika Analog",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Elektronika Analog (Praktikum)",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Fisika Teknik",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Fisika Teknik (Praktikum)",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Kewarganegaraan",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Pancasila",2,1,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Bengkel Mekanik",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Elektronika Digital",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Elektronika Digital (Praktikum)",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Komunikasi dan Pengembangan Diri",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Logika dan Pemikiran Kritis",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Matematika Teknik",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Pengantar Dasar Komputer",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Pengantar Dasar Komputer (Praktikum)",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Pengantar Instrumentasi",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Pengantar Kolaborasi Keilmuan",2,2,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Gambar Teknik (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Instrumentasi Medis",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Instrumentasi Medis (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Instrumentasi Pneumatik",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Instrumentasi Pneumatik (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Pemrograman Komputer",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Pemrograman Komputer (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Sensor dan Transduser",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Sensor dan Transduser (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Ganjil","Teknik Kalibrasi",2,3,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Bengkel Elektronika",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Bengkel Elektronika (Praktikum)",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Dasar Sistem Kontrol",2,4,"Wajib"
"Universitas Airlangga","D4 Teknologi Rekayasa Instrumentasi dan Kontrol","Genap","Instrumentasi Industri",2,4,"Wajib"
