universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Administrasi Publik,Ganjil,Bahasa Indonesia,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Agama Islam 1,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Agama Kristen Protestan 1,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Agama Kristen Katolik 1,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Agama Hindu 1,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Agama Buddha 1,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Agama Kong Hu Chu 1,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Kewarganegaraan,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Data dan Pustaka,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Pancasila,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Pengantar Administrasi Publik,3,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Logika dan Pemikiran Kritis,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Pengantar Kolaborasi Keilmuan,2,1,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Komunikasi dan Pengembangan Diri,2,1,Wajib
UNAIR,S1 Administrasi Publik,Genap,Pengantar Ilmu Politik,3,2,Wajib
UNAIR,S1 Administrasi Publik,Genap,Dasar Metode Penelitian Sosial,3,2,Wajib
UNAIR,S1 Administrasi Publik,Genap,Etika Sosial dan Politik,2,2,Wajib
UNAIR,S1 Administrasi Publik,Genap,Filsafat Ilmu,2,2,Wajib
UNAIR,S1 Administrasi Publik,Genap,Pengantar Kebijakan Publik,3,2,Wajib
UNAIR,S1 Administrasi Publik,Genap,Asas Manajemen,3,2,Wajib
UNAIR,S1 Administrasi Publik,Genap,Bahasa Inggris,2,2,Wajib
UNAIR,S1 Administrasi Publik,Genap,Teknik Penulisan Ilmiah,2,2,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Pengantar Statistik Sosial,3,3,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Manajemen Publik,3,3,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Manajemen Sumber Daya Manusia,3,3,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Sistem Administrasi Publik,3,3,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Administrasi Publik dan Teknologi Informasi,3,3,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Pengantar Sosiologi,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Pengantar Globalisasi,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Hukum Administrasi Negara,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Sistem Politik Indonesia,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Sistem Hukum Indonesia,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Sosiologi Organisasi,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Sistem Sosial Budaya Indonesia,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Ekonomi Pembangunan,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Marketing dalam Sektor Public,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Studi Strategis II - Kebijakan Luar Negeri,3,3,Pilihan
UNAIR,S1 Administrasi Publik,Genap,Governansi Digital,3,4,Wajib
UNAIR,S1 Administrasi Publik,Genap,Teori Administrasi Publik,3,4,Wajib
UNAIR,S1 Administrasi Publik,Genap,Teori Pembangunan,3,4,Wajib
UNAIR,S1 Administrasi Publik,Genap,Metode Penelitian Kuantitatif untuk Administrasi Publik,3,4,Wajib
UNAIR,S1 Administrasi Publik,Genap,Perilaku Organisasi,3,4,Wajib
UNAIR,S1 Administrasi Publik,Genap,Teori Kebijakan Publik,3,4,Wajib
UNAIR,S1 Administrasi Publik,Genap,Dasar Hubungan Masyarakat,3,4,Pilihan
UNAIR,S1 Administrasi Publik,Genap,Sistem Ekonomi Indonesia,3,4,Pilihan
UNAIR,S1 Administrasi Publik,Genap,Perbandingan Administrasi Publik,3,4,Pilihan
UNAIR,S1 Administrasi Publik,Genap,Birokrasi dan Governansi Publik,3,4,Pilihan
UNAIR,S1 Administrasi Publik,Genap,Ekonomi Sektor Publik,3,4,Pilihan
UNAIR,S1 Administrasi Publik,Genap,Administrasi dan Manajemen Aset Publik,3,4,Pilihan
UNAIR,S1 Administrasi Publik,Genap,Teori Organisasi Publik,3,4,Pilihan
UNAIR,S1 Administrasi Publik,Genap,Pengembangan Kapasitas Sektor Publik,3,4,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Kebijakan dan Manajemen Keuangan Sektor Publik,3,5,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Reformasi Administrasi Publik,3,5,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Pemerintah Daerah dan Governansi Perkotaan,3,5,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Governansi dan Manajemen Pembangunan,3,5,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Metode Penelitian Kualitatif untuk Administrasi Publik,3,5,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Desain dan Formulasi Kebijakan Publik,3,5,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Analisis Kebijakan Publik,3,5,Wajib
UNAIR,S1 Administrasi Publik,Ganjil,Kemitraan dalam Sektor Publik,3,5,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Ekonomi Politik,3,5,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Gender dan Administrasi Publik,3,5,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Advokasi dan Perubahan Kebijakan Publik,3,5,Pilihan
UNAIR,S1 Administrasi Publik,Ganjil,Ekonomi Politik Kebijakan Publik,3,5,Pilihan
